iteration	loss	baseline	error	formula	error	
1	0.35039601	0.78227317	0.78227317	0.00108687	(0.3949*(((0.3855*(exp(x0))+-0.3903*(exp(x1))+-0.3910*(exp(x2))+-0.4148*(exp(x3))+-0.3628*(exp(x4))+-0.3669*(exp(x5))+-0.2174))*((-0.1767*(sin(x0))+-0.3279*(sin(x1))+-0.3306*(sin(x2))+-0.2953*(sin(x3))+-0.3683*(sin(x4))+-0.3623*(sin(x5))+-0.0831)))+-0.3744)	
2	1.83809435	0.77104741	0.55775779	0.00060434	(2.6601*sin((((-0.0260*(0)+-0.0517*(0)+-0.0038*(0)+-0.1098*(0)+0.0294*(0)+0.0074*(0)+-0.1144))-((0.5877*(exp(x0))+-0.1384*(exp(x1))+-0.1391*(exp(x2))+-0.1391*(exp(x3))+-0.1387*(exp(x4))+-0.1394*(exp(x5))+0.1671))))+2.4740)	
3	0.52457309	0.77055466	0.76119280	0.00060434	(2.6601*sin((((-0.0260*(0)+-0.0517*(0)+-0.0038*(0)+-0.1098*(0)+0.0294*(0)+0.0074*(0)+-0.1144))-((0.5877*(exp(x0))+-0.1384*(exp(x1))+-0.1391*(exp(x2))+-0.1391*(exp(x3))+-0.1387*(exp(x4))+-0.1394*(exp(x5))+0.1671))))+2.4740)	
4	1.27123582	0.75851786	0.52981818	0.00060434	(2.6601*sin((((-0.0260*(0)+-0.0517*(0)+-0.0038*(0)+-0.1098*(0)+0.0294*(0)+0.0074*(0)+-0.1144))-((0.5877*(exp(x0))+-0.1384*(exp(x1))+-0.1391*(exp(x2))+-0.1391*(exp(x3))+-0.1387*(exp(x4))+-0.1394*(exp(x5))+0.1671))))+2.4740)	
5	1.81667745	0.75323033	0.65276766	0.00060434	(2.6601*sin((((-0.0260*(0)+-0.0517*(0)+-0.0038*(0)+-0.1098*(0)+0.0294*(0)+0.0074*(0)+-0.1144))-((0.5877*(exp(x0))+-0.1384*(exp(x1))+-0.1391*(exp(x2))+-0.1391*(exp(x3))+-0.1387*(exp(x4))+-0.1394*(exp(x5))+0.1671))))+2.4740)	
6	2.47967052	0.74803317	0.64928764	0.00060434	(2.6601*sin((((-0.0260*(0)+-0.0517*(0)+-0.0038*(0)+-0.1098*(0)+0.0294*(0)+0.0074*(0)+-0.1144))-((0.5877*(exp(x0))+-0.1384*(exp(x1))+-0.1391*(exp(x2))+-0.1391*(exp(x3))+-0.1387*(exp(x4))+-0.1394*(exp(x5))+0.1671))))+2.4740)	
7	1.85725176	0.74599159	0.70720166	0.00060434	(2.6601*sin((((-0.0260*(0)+-0.0517*(0)+-0.0038*(0)+-0.1098*(0)+0.0294*(0)+0.0074*(0)+-0.1144))-((0.5877*(exp(x0))+-0.1384*(exp(x1))+-0.1391*(exp(x2))+-0.1391*(exp(x3))+-0.1387*(exp(x4))+-0.1394*(exp(x5))+0.1671))))+2.4740)	
8	2.98126340	0.74322456	0.69065148	0.00058784	(-2.2697*cos((((-0.0869*(exp(x0))+0.0202*(exp(x1))+0.0780*(exp(x2))+0.1236*(exp(x3))+0.1277*(exp(x4))+0.0052*(exp(x5))+0.0719))+((0.0316*((x0)**2)+0.1939*((x1)**2)+0.1142*((x2)**2)+0.0525*((x3)**2)+0.0471*((x4)**2)+0.2140*((x5)**2)+0.1448))))+2.4338)	
9	0.99211770	0.73774773	0.63368762	0.00024980	(-0.3605*(((0.9864*(exp(x0))+-1.0259*(exp(x1))+-1.0181*(exp(x2))+-0.9991*(exp(x3))+-0.9956*(exp(x4))+-1.0148*(exp(x5))+0.3652))+((0.4240*(1)+0.3096*(1)+0.3137*(1)+0.2496*(1)+0.2327*(1)+0.2376*(1)+0.2772)))+-0.6150)	
10	0.54361647	0.74461180	0.87502921	0.00004793	(-0.7093*(((0.0044*((x0)**2)+-0.4530*((x1)**2)+-0.4652*((x2)**2)+-0.4319*((x3)**2)+-0.2913*((x4)**2)+-0.4700*((x5)**2)+0.1024))+((0.3676*(exp(x0))+-0.1846*(exp(x1))+-0.1756*(exp(x2))+-0.2002*(exp(x3))+-0.3031*(exp(x4))+-0.1722*(exp(x5))+0.1568)))+-0.0994)	
11	1.44053113	0.73686439	0.58966351	0.00004793	(-0.7093*(((0.0044*((x0)**2)+-0.4530*((x1)**2)+-0.4652*((x2)**2)+-0.4319*((x3)**2)+-0.2913*((x4)**2)+-0.4700*((x5)**2)+0.1024))+((0.3676*(exp(x0))+-0.1846*(exp(x1))+-0.1756*(exp(x2))+-0.2002*(exp(x3))+-0.3031*(exp(x4))+-0.1722*(exp(x5))+0.1568)))+-0.0994)	
12	1.62557662	0.72774601	0.55449677	0.00004793	(-0.7093*(((0.0044*((x0)**2)+-0.4530*((x1)**2)+-0.4652*((x2)**2)+-0.4319*((x3)**2)+-0.2913*((x4)**2)+-0.4700*((x5)**2)+0.1024))+((0.3676*(exp(x0))+-0.1846*(exp(x1))+-0.1756*(exp(x2))+-0.2002*(exp(x3))+-0.3031*(exp(x4))+-0.1722*(exp(x5))+0.1568)))+-0.0994)	
13	2.65860677	0.72238523	0.62053072	0.00004793	(-0.7093*(((0.0044*((x0)**2)+-0.4530*((x1)**2)+-0.4652*((x2)**2)+-0.4319*((x3)**2)+-0.2913*((x4)**2)+-0.4700*((x5)**2)+0.1024))+((0.3676*(exp(x0))+-0.1846*(exp(x1))+-0.1756*(exp(x2))+-0.2002*(exp(x3))+-0.3031*(exp(x4))+-0.1722*(exp(x5))+0.1568)))+-0.0994)	
14	2.67730880	0.71863377	0.64735675	0.00004793	(-0.7093*(((0.0044*((x0)**2)+-0.4530*((x1)**2)+-0.4652*((x2)**2)+-0.4319*((x3)**2)+-0.2913*((x4)**2)+-0.4700*((x5)**2)+0.1024))+((0.3676*(exp(x0))+-0.1846*(exp(x1))+-0.1756*(exp(x2))+-0.2002*(exp(x3))+-0.3031*(exp(x4))+-0.1722*(exp(x5))+0.1568)))+-0.0994)	
15	2.51802111	0.71602857	0.66652989	0.00004793	(-0.7093*(((0.0044*((x0)**2)+-0.4530*((x1)**2)+-0.4652*((x2)**2)+-0.4319*((x3)**2)+-0.2913*((x4)**2)+-0.4700*((x5)**2)+0.1024))+((0.3676*(exp(x0))+-0.1846*(exp(x1))+-0.1756*(exp(x2))+-0.2002*(exp(x3))+-0.3031*(exp(x4))+-0.1722*(exp(x5))+0.1568)))+-0.0994)	
16	1.74241245	0.71686870	0.73283082	0.00004793	(-0.7093*(((0.0044*((x0)**2)+-0.4530*((x1)**2)+-0.4652*((x2)**2)+-0.4319*((x3)**2)+-0.2913*((x4)**2)+-0.4700*((x5)**2)+0.1024))+((0.3676*(exp(x0))+-0.1846*(exp(x1))+-0.1756*(exp(x2))+-0.2002*(exp(x3))+-0.3031*(exp(x4))+-0.1722*(exp(x5))+0.1568)))+-0.0994)	
17	1.26407027	0.71941018	0.76769775	0.00004793	(-0.7093*(((0.0044*((x0)**2)+-0.4530*((x1)**2)+-0.4652*((x2)**2)+-0.4319*((x3)**2)+-0.2913*((x4)**2)+-0.4700*((x5)**2)+0.1024))+((0.3676*(exp(x0))+-0.1846*(exp(x1))+-0.1756*(exp(x2))+-0.2002*(exp(x3))+-0.3031*(exp(x4))+-0.1722*(exp(x5))+0.1568)))+-0.0994)	
18	0.84402674	0.72069448	0.74509573	0.00004793	(-0.7093*(((0.0044*((x0)**2)+-0.4530*((x1)**2)+-0.4652*((x2)**2)+-0.4319*((x3)**2)+-0.2913*((x4)**2)+-0.4700*((x5)**2)+0.1024))+((0.3676*(exp(x0))+-0.1846*(exp(x1))+-0.1756*(exp(x2))+-0.2002*(exp(x3))+-0.3031*(exp(x4))+-0.1722*(exp(x5))+0.1568)))+-0.0994)	
19	0.49275684	0.72383767	0.78355783	0.00004793	(-0.7093*(((0.0044*((x0)**2)+-0.4530*((x1)**2)+-0.4652*((x2)**2)+-0.4319*((x3)**2)+-0.2913*((x4)**2)+-0.4700*((x5)**2)+0.1024))+((0.3676*(exp(x0))+-0.1846*(exp(x1))+-0.1756*(exp(x2))+-0.2002*(exp(x3))+-0.3031*(exp(x4))+-0.1722*(exp(x5))+0.1568)))+-0.0994)	
20	1.05889058	0.72282225	0.70352966	0.00004793	(-0.7093*(((0.0044*((x0)**2)+-0.4530*((x1)**2)+-0.4652*((x2)**2)+-0.4319*((x3)**2)+-0.2913*((x4)**2)+-0.4700*((x5)**2)+0.1024))+((0.3676*(exp(x0))+-0.1846*(exp(x1))+-0.1756*(exp(x2))+-0.2002*(exp(x3))+-0.3031*(exp(x4))+-0.1722*(exp(x5))+0.1568)))+-0.0994)	
666	0	0	3-0-6-2-	0.00004793	(-0.7093*(((0.0044*((x0)**2)+-0.4530*((x1)**2)+-0.4652*((x2)**2)+-0.4319*((x3)**2)+-0.2913*((x4)**2)+-0.4700*((x5)**2)+0.1024))+((0.3676*(exp(x0))+-0.1846*(exp(x1))+-0.1756*(exp(x2))+-0.2002*(exp(x3))+-0.3031*(exp(x4))+-0.1722*(exp(x5))+0.1568)))+-0.0994)	
666	0	0	3-2-5-2-	0.00015924	(0.6565*(((0.0211*((x0)**2)+0.7484*((x1)**2)+0.8712*((x2)**2)+0.6902*((x3)**2)+0.7728*((x4)**2)+0.7291*((x5)**2)+0.0022))-((0.1385*((x0)**4)+-0.0075*((x1)**4)+0.0537*((x2)**4)+-0.0339*((x3)**4)+0.0049*((x4)**4)+-0.0166*((x5)**4)+-0.0551)))+0.0382)	
666	0	0	6-0-1-2-	0.00024980	(-0.3605*(((0.9864*(exp(x0))+-1.0259*(exp(x1))+-1.0181*(exp(x2))+-0.9991*(exp(x3))+-0.9956*(exp(x4))+-1.0148*(exp(x5))+0.3652))+((0.4240*(1)+0.3096*(1)+0.3137*(1)+0.2496*(1)+0.2327*(1)+0.2376*(1)+0.2772)))+-0.6150)	
666	0	0	6-0-8-8-	0.00029271	(-2.4671*cos((((0.0696*(exp(x0))+-0.1533*(exp(x1))+-0.1515*(exp(x2))+-0.1394*(exp(x3))+-0.1423*(exp(x4))+-0.1388*(exp(x5))+0.0918))+((-0.1276*(cos(x0))+-0.0159*(cos(x1))+-0.0038*(cos(x2))+0.0304*(cos(x3))+0.0196*(cos(x4))+0.0370*(cos(x5))+0.1328))))+2.4463)	
666	0	0	0-0-3-7-	0.00040261	(2.7097*sin((((-0.0798*(0)+0.0630*(0)+0.0692*(0)+-0.2292*(0)+-0.1677*(0)+0.1938*(0)+-0.3927))+((-0.2339*((x0)**2)+0.1843*((x1)**2)+0.1851*((x2)**2)+0.1856*((x3)**2)+0.1855*((x4)**2)+0.1847*((x5)**2)+-0.2031))))+2.2373)	
666	0	0	6-0-3-8-	0.00058784	(-2.2697*cos((((-0.0869*(exp(x0))+0.0202*(exp(x1))+0.0780*(exp(x2))+0.1236*(exp(x3))+0.1277*(exp(x4))+0.0052*(exp(x5))+0.0719))+((0.0316*((x0)**2)+0.1939*((x1)**2)+0.1142*((x2)**2)+0.0525*((x3)**2)+0.0471*((x4)**2)+0.2140*((x5)**2)+0.1448))))+2.4338)	
666	0	0	0-2-6-7-	0.00060434	(2.6601*sin((((-0.0260*(0)+-0.0517*(0)+-0.0038*(0)+-0.1098*(0)+0.0294*(0)+0.0074*(0)+-0.1144))-((0.5877*(exp(x0))+-0.1384*(exp(x1))+-0.1391*(exp(x2))+-0.1391*(exp(x3))+-0.1387*(exp(x4))+-0.1394*(exp(x5))+0.1671))))+2.4740)	
