iteration	loss	baseline	error	formula	error	
1	0.27176642	0.67862552	0.67862552	0.05681294	(0.2569*((((-0.0974*(0)+0.1617*(0)+-0.0929*(0)+0.1644*(0)+-0.0336*(0)+0.1268*(0)+-0.0538*(0)+0.0965*(0)+0.1111*(0)+-0.0559*(0)+-0.0370*(0)+-0.2342*(0)+-0.1079*(0)+-0.1486*(0)+-0.0178*(0)+0.0117*(0)+0.0253*(0)+-0.1253*(0)+-0.1301*(0)+0.1663*(0)+-0.0779*(0)+-0.0898*(0)+0.0989*(0)+-0.0250*(0)+0.0964*(0)+-0.0124*(0)+0.1256*(0)+0.1744*(0)+0.0592*(0)+0.0843*(0)+0.0181*(0)+-0.0200*(0)+0.0623*(0)+0.0387*(0)+0.2003*(0)+-0.1587*(0)+0.1450*(0)+-0.1178*(0)+-0.0598*(0)+-0.0325*(0)+0.0121*(0)+0.0288*(0)+0.0191*(0)+0.1818*(0)+0.0911*(0)+0.0407*(0)+-0.0359*(0)+-0.0196*(0)+-0.0998*(0)+0.0307*(0)+-0.1079*(0)+0.0625))+((0.0125*(x0)+0.0860*(x1)+0.0884*(x2)+0.0706*(x3)+0.0765*(x4)+0.0827*(x5)+0.0934*(x6)+0.0567*(x7)+0.0700*(x8)+0.0720*(x9)+0.0811*(x10)+0.0791*(x11)+0.1037*(x12)+0.0658*(x13)+0.0648*(x14)+0.0958*(x15)+0.0661*(x16)+0.0749*(x17)+0.0995*(x18)+0.0629*(x19)+0.0926*(x20)+0.0846*(x21)+0.1013*(x22)+0.1044*(x23)+0.0570*(x24)+0.0745*(x25)+0.0895*(x26)+0.0689*(x27)+0.0668*(x28)+0.0958*(x29)+0.0975*(x30)+0.0725*(x31)+0.1045*(x32)+0.1017*(x33)+0.1063*(x34)+0.1101*(x35)+0.0686*(x36)+0.0706*(x37)+0.0752*(x38)+0.0950*(x39)+0.0877*(x40)+0.1002*(x41)+0.0956*(x42)+0.0704*(x43)+0.0768*(x44)+0.0604*(x45)+0.0993*(x46)+0.0982*(x47)+0.1048*(x48)+0.0797*(x49)+0.0826*(x50)+-0.0293))))**2+0.9021)	
2	0.22804002	0.67373711	0.58085722	0.05681294	(0.2569*((((-0.0974*(0)+0.1617*(0)+-0.0929*(0)+0.1644*(0)+-0.0336*(0)+0.1268*(0)+-0.0538*(0)+0.0965*(0)+0.1111*(0)+-0.0559*(0)+-0.0370*(0)+-0.2342*(0)+-0.1079*(0)+-0.1486*(0)+-0.0178*(0)+0.0117*(0)+0.0253*(0)+-0.1253*(0)+-0.1301*(0)+0.1663*(0)+-0.0779*(0)+-0.0898*(0)+0.0989*(0)+-0.0250*(0)+0.0964*(0)+-0.0124*(0)+0.1256*(0)+0.1744*(0)+0.0592*(0)+0.0843*(0)+0.0181*(0)+-0.0200*(0)+0.0623*(0)+0.0387*(0)+0.2003*(0)+-0.1587*(0)+0.1450*(0)+-0.1178*(0)+-0.0598*(0)+-0.0325*(0)+0.0121*(0)+0.0288*(0)+0.0191*(0)+0.1818*(0)+0.0911*(0)+0.0407*(0)+-0.0359*(0)+-0.0196*(0)+-0.0998*(0)+0.0307*(0)+-0.1079*(0)+0.0625))+((0.0125*(x0)+0.0860*(x1)+0.0884*(x2)+0.0706*(x3)+0.0765*(x4)+0.0827*(x5)+0.0934*(x6)+0.0567*(x7)+0.0700*(x8)+0.0720*(x9)+0.0811*(x10)+0.0791*(x11)+0.1037*(x12)+0.0658*(x13)+0.0648*(x14)+0.0958*(x15)+0.0661*(x16)+0.0749*(x17)+0.0995*(x18)+0.0629*(x19)+0.0926*(x20)+0.0846*(x21)+0.1013*(x22)+0.1044*(x23)+0.0570*(x24)+0.0745*(x25)+0.0895*(x26)+0.0689*(x27)+0.0668*(x28)+0.0958*(x29)+0.0975*(x30)+0.0725*(x31)+0.1045*(x32)+0.1017*(x33)+0.1063*(x34)+0.1101*(x35)+0.0686*(x36)+0.0706*(x37)+0.0752*(x38)+0.0950*(x39)+0.0877*(x40)+0.1002*(x41)+0.0956*(x42)+0.0704*(x43)+0.0768*(x44)+0.0604*(x45)+0.0993*(x46)+0.0982*(x47)+0.1048*(x48)+0.0797*(x49)+0.0826*(x50)+-0.0293))))**2+0.9021)	
3	0.30807370	0.66816479	0.56229115	0.05681294	(0.2569*((((-0.0974*(0)+0.1617*(0)+-0.0929*(0)+0.1644*(0)+-0.0336*(0)+0.1268*(0)+-0.0538*(0)+0.0965*(0)+0.1111*(0)+-0.0559*(0)+-0.0370*(0)+-0.2342*(0)+-0.1079*(0)+-0.1486*(0)+-0.0178*(0)+0.0117*(0)+0.0253*(0)+-0.1253*(0)+-0.1301*(0)+0.1663*(0)+-0.0779*(0)+-0.0898*(0)+0.0989*(0)+-0.0250*(0)+0.0964*(0)+-0.0124*(0)+0.1256*(0)+0.1744*(0)+0.0592*(0)+0.0843*(0)+0.0181*(0)+-0.0200*(0)+0.0623*(0)+0.0387*(0)+0.2003*(0)+-0.1587*(0)+0.1450*(0)+-0.1178*(0)+-0.0598*(0)+-0.0325*(0)+0.0121*(0)+0.0288*(0)+0.0191*(0)+0.1818*(0)+0.0911*(0)+0.0407*(0)+-0.0359*(0)+-0.0196*(0)+-0.0998*(0)+0.0307*(0)+-0.1079*(0)+0.0625))+((0.0125*(x0)+0.0860*(x1)+0.0884*(x2)+0.0706*(x3)+0.0765*(x4)+0.0827*(x5)+0.0934*(x6)+0.0567*(x7)+0.0700*(x8)+0.0720*(x9)+0.0811*(x10)+0.0791*(x11)+0.1037*(x12)+0.0658*(x13)+0.0648*(x14)+0.0958*(x15)+0.0661*(x16)+0.0749*(x17)+0.0995*(x18)+0.0629*(x19)+0.0926*(x20)+0.0846*(x21)+0.1013*(x22)+0.1044*(x23)+0.0570*(x24)+0.0745*(x25)+0.0895*(x26)+0.0689*(x27)+0.0668*(x28)+0.0958*(x29)+0.0975*(x30)+0.0725*(x31)+0.1045*(x32)+0.1017*(x33)+0.1063*(x34)+0.1101*(x35)+0.0686*(x36)+0.0706*(x37)+0.0752*(x38)+0.0950*(x39)+0.0877*(x40)+0.1002*(x41)+0.0956*(x42)+0.0704*(x43)+0.0768*(x44)+0.0604*(x45)+0.0993*(x46)+0.0982*(x47)+0.1048*(x48)+0.0797*(x49)+0.0826*(x50)+-0.0293))))**2+0.9021)	
4	1.05328739	0.67105764	0.72602206	0.00000001	(-0.1216*(((-0.2889*((x0)**2)+-0.0923*((x1)**2)+-0.1366*((x2)**2)+-0.1539*((x3)**2)+-0.1223*((x4)**2)+-0.2094*((x5)**2)+-0.2003*((x6)**2)+-0.1876*((x7)**2)+-0.1541*((x8)**2)+-0.1979*((x9)**2)+-0.1585*((x10)**2)+-0.1053*((x11)**2)+-0.2102*((x12)**2)+-0.1551*((x13)**2)+-0.1714*((x14)**2)+-0.1107*((x15)**2)+-0.1761*((x16)**2)+-0.1974*((x17)**2)+-0.1020*((x18)**2)+-0.1101*((x19)**2)+-0.1307*((x20)**2)+-0.1980*((x21)**2)+-0.1283*((x22)**2)+-0.1179*((x23)**2)+-0.1825*((x24)**2)+-0.1573*((x25)**2)+-0.1889*((x26)**2)+-0.1325*((x27)**2)+-0.1641*((x28)**2)+-0.1424*((x29)**2)+-0.1697*((x30)**2)+-0.1313*((x31)**2)+-0.1513*((x32)**2)+-0.1334*((x33)**2)+-0.1425*((x34)**2)+-0.1127*((x35)**2)+-0.0886*((x36)**2)+-0.1671*((x37)**2)+-0.1475*((x38)**2)+-0.1870*((x39)**2)+-0.1839*((x40)**2)+-0.1790*((x41)**2)+-0.1592*((x42)**2)+-0.0879*((x43)**2)+-0.1997*((x44)**2)+-0.0880*((x45)**2)+-0.1525*((x46)**2)+-0.1484*((x47)**2)+-0.1769*((x48)**2)+-0.1878*((x49)**2)+-0.1703*((x50)**2)+0.0274))-((0.2044*(1)+0.0452*(1)+0.0122*(1)+0.1280*(1)+0.1144*(1)+0.0003*(1)+0.0041*(1)+-0.0097*(1)+-0.0942*(1)+0.0320*(1)+0.1107*(1)+0.0676*(1)+0.0261*(1)+0.0998*(1)+0.0912*(1)+0.0683*(1)+0.0823*(1)+0.1188*(1)+0.0985*(1)+-0.1029*(1)+0.0157*(1)+0.0001*(1)+-0.1455*(1)+-0.1317*(1)+-0.1721*(1)+-0.0288*(1)+0.0169*(1)+-0.0299*(1)+0.1604*(1)+0.0955*(1)+0.1366*(1)+-0.1405*(1)+-0.0302*(1)+0.0995*(1)+-0.0776*(1)+0.0686*(1)+-0.1648*(1)+-0.0625*(1)+0.1551*(1)+0.0842*(1)+0.0356*(1)+0.0551*(1)+0.0947*(1)+-0.1086*(1)+-0.0334*(1)+0.0448*(1)+0.0206*(1)+-0.0576*(1)+0.1030*(1)+0.0076*(1)+-0.1381*(1)+0.0491)))+-0.0858)	
5	0.89823961	0.67128581	0.67562073	0.00000001	(-0.1216*(((-0.2889*((x0)**2)+-0.0923*((x1)**2)+-0.1366*((x2)**2)+-0.1539*((x3)**2)+-0.1223*((x4)**2)+-0.2094*((x5)**2)+-0.2003*((x6)**2)+-0.1876*((x7)**2)+-0.1541*((x8)**2)+-0.1979*((x9)**2)+-0.1585*((x10)**2)+-0.1053*((x11)**2)+-0.2102*((x12)**2)+-0.1551*((x13)**2)+-0.1714*((x14)**2)+-0.1107*((x15)**2)+-0.1761*((x16)**2)+-0.1974*((x17)**2)+-0.1020*((x18)**2)+-0.1101*((x19)**2)+-0.1307*((x20)**2)+-0.1980*((x21)**2)+-0.1283*((x22)**2)+-0.1179*((x23)**2)+-0.1825*((x24)**2)+-0.1573*((x25)**2)+-0.1889*((x26)**2)+-0.1325*((x27)**2)+-0.1641*((x28)**2)+-0.1424*((x29)**2)+-0.1697*((x30)**2)+-0.1313*((x31)**2)+-0.1513*((x32)**2)+-0.1334*((x33)**2)+-0.1425*((x34)**2)+-0.1127*((x35)**2)+-0.0886*((x36)**2)+-0.1671*((x37)**2)+-0.1475*((x38)**2)+-0.1870*((x39)**2)+-0.1839*((x40)**2)+-0.1790*((x41)**2)+-0.1592*((x42)**2)+-0.0879*((x43)**2)+-0.1997*((x44)**2)+-0.0880*((x45)**2)+-0.1525*((x46)**2)+-0.1484*((x47)**2)+-0.1769*((x48)**2)+-0.1878*((x49)**2)+-0.1703*((x50)**2)+0.0274))-((0.2044*(1)+0.0452*(1)+0.0122*(1)+0.1280*(1)+0.1144*(1)+0.0003*(1)+0.0041*(1)+-0.0097*(1)+-0.0942*(1)+0.0320*(1)+0.1107*(1)+0.0676*(1)+0.0261*(1)+0.0998*(1)+0.0912*(1)+0.0683*(1)+0.0823*(1)+0.1188*(1)+0.0985*(1)+-0.1029*(1)+0.0157*(1)+0.0001*(1)+-0.1455*(1)+-0.1317*(1)+-0.1721*(1)+-0.0288*(1)+0.0169*(1)+-0.0299*(1)+0.1604*(1)+0.0955*(1)+0.1366*(1)+-0.1405*(1)+-0.0302*(1)+0.0995*(1)+-0.0776*(1)+0.0686*(1)+-0.1648*(1)+-0.0625*(1)+0.1551*(1)+0.0842*(1)+0.0356*(1)+0.0551*(1)+0.0947*(1)+-0.1086*(1)+-0.0334*(1)+0.0448*(1)+0.0206*(1)+-0.0576*(1)+0.1030*(1)+0.0076*(1)+-0.1381*(1)+0.0491)))+-0.0858)	
6	0.00652562	0.66579854	0.56154025	0.00000001	(-0.1216*(((-0.2889*((x0)**2)+-0.0923*((x1)**2)+-0.1366*((x2)**2)+-0.1539*((x3)**2)+-0.1223*((x4)**2)+-0.2094*((x5)**2)+-0.2003*((x6)**2)+-0.1876*((x7)**2)+-0.1541*((x8)**2)+-0.1979*((x9)**2)+-0.1585*((x10)**2)+-0.1053*((x11)**2)+-0.2102*((x12)**2)+-0.1551*((x13)**2)+-0.1714*((x14)**2)+-0.1107*((x15)**2)+-0.1761*((x16)**2)+-0.1974*((x17)**2)+-0.1020*((x18)**2)+-0.1101*((x19)**2)+-0.1307*((x20)**2)+-0.1980*((x21)**2)+-0.1283*((x22)**2)+-0.1179*((x23)**2)+-0.1825*((x24)**2)+-0.1573*((x25)**2)+-0.1889*((x26)**2)+-0.1325*((x27)**2)+-0.1641*((x28)**2)+-0.1424*((x29)**2)+-0.1697*((x30)**2)+-0.1313*((x31)**2)+-0.1513*((x32)**2)+-0.1334*((x33)**2)+-0.1425*((x34)**2)+-0.1127*((x35)**2)+-0.0886*((x36)**2)+-0.1671*((x37)**2)+-0.1475*((x38)**2)+-0.1870*((x39)**2)+-0.1839*((x40)**2)+-0.1790*((x41)**2)+-0.1592*((x42)**2)+-0.0879*((x43)**2)+-0.1997*((x44)**2)+-0.0880*((x45)**2)+-0.1525*((x46)**2)+-0.1484*((x47)**2)+-0.1769*((x48)**2)+-0.1878*((x49)**2)+-0.1703*((x50)**2)+0.0274))-((0.2044*(1)+0.0452*(1)+0.0122*(1)+0.1280*(1)+0.1144*(1)+0.0003*(1)+0.0041*(1)+-0.0097*(1)+-0.0942*(1)+0.0320*(1)+0.1107*(1)+0.0676*(1)+0.0261*(1)+0.0998*(1)+0.0912*(1)+0.0683*(1)+0.0823*(1)+0.1188*(1)+0.0985*(1)+-0.1029*(1)+0.0157*(1)+0.0001*(1)+-0.1455*(1)+-0.1317*(1)+-0.1721*(1)+-0.0288*(1)+0.0169*(1)+-0.0299*(1)+0.1604*(1)+0.0955*(1)+0.1366*(1)+-0.1405*(1)+-0.0302*(1)+0.0995*(1)+-0.0776*(1)+0.0686*(1)+-0.1648*(1)+-0.0625*(1)+0.1551*(1)+0.0842*(1)+0.0356*(1)+0.0551*(1)+0.0947*(1)+-0.1086*(1)+-0.0334*(1)+0.0448*(1)+0.0206*(1)+-0.0576*(1)+0.1030*(1)+0.0076*(1)+-0.1381*(1)+0.0491)))+-0.0858)	
7	1.00944936	0.66613150	0.67245781	0.00000001	(-0.1216*(((-0.2889*((x0)**2)+-0.0923*((x1)**2)+-0.1366*((x2)**2)+-0.1539*((x3)**2)+-0.1223*((x4)**2)+-0.2094*((x5)**2)+-0.2003*((x6)**2)+-0.1876*((x7)**2)+-0.1541*((x8)**2)+-0.1979*((x9)**2)+-0.1585*((x10)**2)+-0.1053*((x11)**2)+-0.2102*((x12)**2)+-0.1551*((x13)**2)+-0.1714*((x14)**2)+-0.1107*((x15)**2)+-0.1761*((x16)**2)+-0.1974*((x17)**2)+-0.1020*((x18)**2)+-0.1101*((x19)**2)+-0.1307*((x20)**2)+-0.1980*((x21)**2)+-0.1283*((x22)**2)+-0.1179*((x23)**2)+-0.1825*((x24)**2)+-0.1573*((x25)**2)+-0.1889*((x26)**2)+-0.1325*((x27)**2)+-0.1641*((x28)**2)+-0.1424*((x29)**2)+-0.1697*((x30)**2)+-0.1313*((x31)**2)+-0.1513*((x32)**2)+-0.1334*((x33)**2)+-0.1425*((x34)**2)+-0.1127*((x35)**2)+-0.0886*((x36)**2)+-0.1671*((x37)**2)+-0.1475*((x38)**2)+-0.1870*((x39)**2)+-0.1839*((x40)**2)+-0.1790*((x41)**2)+-0.1592*((x42)**2)+-0.0879*((x43)**2)+-0.1997*((x44)**2)+-0.0880*((x45)**2)+-0.1525*((x46)**2)+-0.1484*((x47)**2)+-0.1769*((x48)**2)+-0.1878*((x49)**2)+-0.1703*((x50)**2)+0.0274))-((0.2044*(1)+0.0452*(1)+0.0122*(1)+0.1280*(1)+0.1144*(1)+0.0003*(1)+0.0041*(1)+-0.0097*(1)+-0.0942*(1)+0.0320*(1)+0.1107*(1)+0.0676*(1)+0.0261*(1)+0.0998*(1)+0.0912*(1)+0.0683*(1)+0.0823*(1)+0.1188*(1)+0.0985*(1)+-0.1029*(1)+0.0157*(1)+0.0001*(1)+-0.1455*(1)+-0.1317*(1)+-0.1721*(1)+-0.0288*(1)+0.0169*(1)+-0.0299*(1)+0.1604*(1)+0.0955*(1)+0.1366*(1)+-0.1405*(1)+-0.0302*(1)+0.0995*(1)+-0.0776*(1)+0.0686*(1)+-0.1648*(1)+-0.0625*(1)+0.1551*(1)+0.0842*(1)+0.0356*(1)+0.0551*(1)+0.0947*(1)+-0.1086*(1)+-0.0334*(1)+0.0448*(1)+0.0206*(1)+-0.0576*(1)+0.1030*(1)+0.0076*(1)+-0.1381*(1)+0.0491)))+-0.0858)	
8	0.42856652	0.66034722	0.55044645	0.00000001	(-0.1216*(((-0.2889*((x0)**2)+-0.0923*((x1)**2)+-0.1366*((x2)**2)+-0.1539*((x3)**2)+-0.1223*((x4)**2)+-0.2094*((x5)**2)+-0.2003*((x6)**2)+-0.1876*((x7)**2)+-0.1541*((x8)**2)+-0.1979*((x9)**2)+-0.1585*((x10)**2)+-0.1053*((x11)**2)+-0.2102*((x12)**2)+-0.1551*((x13)**2)+-0.1714*((x14)**2)+-0.1107*((x15)**2)+-0.1761*((x16)**2)+-0.1974*((x17)**2)+-0.1020*((x18)**2)+-0.1101*((x19)**2)+-0.1307*((x20)**2)+-0.1980*((x21)**2)+-0.1283*((x22)**2)+-0.1179*((x23)**2)+-0.1825*((x24)**2)+-0.1573*((x25)**2)+-0.1889*((x26)**2)+-0.1325*((x27)**2)+-0.1641*((x28)**2)+-0.1424*((x29)**2)+-0.1697*((x30)**2)+-0.1313*((x31)**2)+-0.1513*((x32)**2)+-0.1334*((x33)**2)+-0.1425*((x34)**2)+-0.1127*((x35)**2)+-0.0886*((x36)**2)+-0.1671*((x37)**2)+-0.1475*((x38)**2)+-0.1870*((x39)**2)+-0.1839*((x40)**2)+-0.1790*((x41)**2)+-0.1592*((x42)**2)+-0.0879*((x43)**2)+-0.1997*((x44)**2)+-0.0880*((x45)**2)+-0.1525*((x46)**2)+-0.1484*((x47)**2)+-0.1769*((x48)**2)+-0.1878*((x49)**2)+-0.1703*((x50)**2)+0.0274))-((0.2044*(1)+0.0452*(1)+0.0122*(1)+0.1280*(1)+0.1144*(1)+0.0003*(1)+0.0041*(1)+-0.0097*(1)+-0.0942*(1)+0.0320*(1)+0.1107*(1)+0.0676*(1)+0.0261*(1)+0.0998*(1)+0.0912*(1)+0.0683*(1)+0.0823*(1)+0.1188*(1)+0.0985*(1)+-0.1029*(1)+0.0157*(1)+0.0001*(1)+-0.1455*(1)+-0.1317*(1)+-0.1721*(1)+-0.0288*(1)+0.0169*(1)+-0.0299*(1)+0.1604*(1)+0.0955*(1)+0.1366*(1)+-0.1405*(1)+-0.0302*(1)+0.0995*(1)+-0.0776*(1)+0.0686*(1)+-0.1648*(1)+-0.0625*(1)+0.1551*(1)+0.0842*(1)+0.0356*(1)+0.0551*(1)+0.0947*(1)+-0.1086*(1)+-0.0334*(1)+0.0448*(1)+0.0206*(1)+-0.0576*(1)+0.1030*(1)+0.0076*(1)+-0.1381*(1)+0.0491)))+-0.0858)	
9	0.72906113	0.66325647	0.71853262	0.00000001	(-0.1216*(((-0.2889*((x0)**2)+-0.0923*((x1)**2)+-0.1366*((x2)**2)+-0.1539*((x3)**2)+-0.1223*((x4)**2)+-0.2094*((x5)**2)+-0.2003*((x6)**2)+-0.1876*((x7)**2)+-0.1541*((x8)**2)+-0.1979*((x9)**2)+-0.1585*((x10)**2)+-0.1053*((x11)**2)+-0.2102*((x12)**2)+-0.1551*((x13)**2)+-0.1714*((x14)**2)+-0.1107*((x15)**2)+-0.1761*((x16)**2)+-0.1974*((x17)**2)+-0.1020*((x18)**2)+-0.1101*((x19)**2)+-0.1307*((x20)**2)+-0.1980*((x21)**2)+-0.1283*((x22)**2)+-0.1179*((x23)**2)+-0.1825*((x24)**2)+-0.1573*((x25)**2)+-0.1889*((x26)**2)+-0.1325*((x27)**2)+-0.1641*((x28)**2)+-0.1424*((x29)**2)+-0.1697*((x30)**2)+-0.1313*((x31)**2)+-0.1513*((x32)**2)+-0.1334*((x33)**2)+-0.1425*((x34)**2)+-0.1127*((x35)**2)+-0.0886*((x36)**2)+-0.1671*((x37)**2)+-0.1475*((x38)**2)+-0.1870*((x39)**2)+-0.1839*((x40)**2)+-0.1790*((x41)**2)+-0.1592*((x42)**2)+-0.0879*((x43)**2)+-0.1997*((x44)**2)+-0.0880*((x45)**2)+-0.1525*((x46)**2)+-0.1484*((x47)**2)+-0.1769*((x48)**2)+-0.1878*((x49)**2)+-0.1703*((x50)**2)+0.0274))-((0.2044*(1)+0.0452*(1)+0.0122*(1)+0.1280*(1)+0.1144*(1)+0.0003*(1)+0.0041*(1)+-0.0097*(1)+-0.0942*(1)+0.0320*(1)+0.1107*(1)+0.0676*(1)+0.0261*(1)+0.0998*(1)+0.0912*(1)+0.0683*(1)+0.0823*(1)+0.1188*(1)+0.0985*(1)+-0.1029*(1)+0.0157*(1)+0.0001*(1)+-0.1455*(1)+-0.1317*(1)+-0.1721*(1)+-0.0288*(1)+0.0169*(1)+-0.0299*(1)+0.1604*(1)+0.0955*(1)+0.1366*(1)+-0.1405*(1)+-0.0302*(1)+0.0995*(1)+-0.0776*(1)+0.0686*(1)+-0.1648*(1)+-0.0625*(1)+0.1551*(1)+0.0842*(1)+0.0356*(1)+0.0551*(1)+0.0947*(1)+-0.1086*(1)+-0.0334*(1)+0.0448*(1)+0.0206*(1)+-0.0576*(1)+0.1030*(1)+0.0076*(1)+-0.1381*(1)+0.0491)))+-0.0858)	
10	1.34198248	0.66468471	0.69182152	0.00000001	(-0.1216*(((-0.2889*((x0)**2)+-0.0923*((x1)**2)+-0.1366*((x2)**2)+-0.1539*((x3)**2)+-0.1223*((x4)**2)+-0.2094*((x5)**2)+-0.2003*((x6)**2)+-0.1876*((x7)**2)+-0.1541*((x8)**2)+-0.1979*((x9)**2)+-0.1585*((x10)**2)+-0.1053*((x11)**2)+-0.2102*((x12)**2)+-0.1551*((x13)**2)+-0.1714*((x14)**2)+-0.1107*((x15)**2)+-0.1761*((x16)**2)+-0.1974*((x17)**2)+-0.1020*((x18)**2)+-0.1101*((x19)**2)+-0.1307*((x20)**2)+-0.1980*((x21)**2)+-0.1283*((x22)**2)+-0.1179*((x23)**2)+-0.1825*((x24)**2)+-0.1573*((x25)**2)+-0.1889*((x26)**2)+-0.1325*((x27)**2)+-0.1641*((x28)**2)+-0.1424*((x29)**2)+-0.1697*((x30)**2)+-0.1313*((x31)**2)+-0.1513*((x32)**2)+-0.1334*((x33)**2)+-0.1425*((x34)**2)+-0.1127*((x35)**2)+-0.0886*((x36)**2)+-0.1671*((x37)**2)+-0.1475*((x38)**2)+-0.1870*((x39)**2)+-0.1839*((x40)**2)+-0.1790*((x41)**2)+-0.1592*((x42)**2)+-0.0879*((x43)**2)+-0.1997*((x44)**2)+-0.0880*((x45)**2)+-0.1525*((x46)**2)+-0.1484*((x47)**2)+-0.1769*((x48)**2)+-0.1878*((x49)**2)+-0.1703*((x50)**2)+0.0274))-((0.2044*(1)+0.0452*(1)+0.0122*(1)+0.1280*(1)+0.1144*(1)+0.0003*(1)+0.0041*(1)+-0.0097*(1)+-0.0942*(1)+0.0320*(1)+0.1107*(1)+0.0676*(1)+0.0261*(1)+0.0998*(1)+0.0912*(1)+0.0683*(1)+0.0823*(1)+0.1188*(1)+0.0985*(1)+-0.1029*(1)+0.0157*(1)+0.0001*(1)+-0.1455*(1)+-0.1317*(1)+-0.1721*(1)+-0.0288*(1)+0.0169*(1)+-0.0299*(1)+0.1604*(1)+0.0955*(1)+0.1366*(1)+-0.1405*(1)+-0.0302*(1)+0.0995*(1)+-0.0776*(1)+0.0686*(1)+-0.1648*(1)+-0.0625*(1)+0.1551*(1)+0.0842*(1)+0.0356*(1)+0.0551*(1)+0.0947*(1)+-0.1086*(1)+-0.0334*(1)+0.0448*(1)+0.0206*(1)+-0.0576*(1)+0.1030*(1)+0.0076*(1)+-0.1381*(1)+0.0491)))+-0.0858)	
