iteration	loss	baseline	error	formula	error	
1	0.20178013	0.03458086	0.03458086	135.34564209	(-0.1213*((((0.4330*(cos(x0))+-0.1022*(cos(x1))+0.0125*(cos(x2))+-0.1564*(cos(x3))+-0.0334*(cos(x4))+-0.2034*(cos(x5))+-0.1341*(cos(x6))+-0.0854*(cos(x7))+-0.2475*(cos(x8))+-0.0658*(cos(x9))+-0.0939*(cos(x10))+-0.0847*(cos(x11))+-0.0608*(cos(x12))+-0.0948*(cos(x13))+-0.0737*(cos(x14))+-0.0493*(cos(x15))+-0.0116*(cos(x16))+-0.0579*(cos(x17))+-0.1140*(cos(x18))+-0.2067*(cos(x19))+-0.1121*(cos(x20))+-0.1232*(cos(x21))+-0.0350*(cos(x22))+0.0391*(cos(x23))+-0.1509*(cos(x24))+-0.0881*(cos(x25))+-0.1447*(cos(x26))+-0.0003*(cos(x27))+-0.0460*(cos(x28))+-0.1870*(cos(x29))+-0.1592*(cos(x30))+-0.1710*(cos(x31))+-0.1635*(cos(x32))+-0.0591*(cos(x33))+-0.0547*(cos(x34))+-0.0420*(cos(x35))+-0.1614*(cos(x36))+-0.1467*(cos(x37))+-0.0932*(cos(x38))+-0.0621*(cos(x39))+-0.1714*(cos(x40))+-0.0371*(cos(x41))+-0.0274*(cos(x42))+0.0045*(cos(x43))+-0.0563*(cos(x44))+-0.0511*(cos(x45))+-0.0623*(cos(x46))+-0.0777*(cos(x47))+-0.0731*(cos(x48))+-0.1266*(cos(x49))+-0.2733*(cos(x50))+-0.5893))-((1.9778*(sin(x0))+-0.0513*(sin(x1))+0.0174*(sin(x2))+0.0538*(sin(x3))+-0.1102*(sin(x4))+-0.0168*(sin(x5))+0.0097*(sin(x6))+0.0007*(sin(x7))+0.0550*(sin(x8))+0.0003*(sin(x9))+-0.2012*(sin(x10))+-0.0789*(sin(x11))+-0.0011*(sin(x12))+0.0274*(sin(x13))+-0.0730*(sin(x14))+0.0244*(sin(x15))+0.0699*(sin(x16))+-0.0490*(sin(x17))+-0.0436*(sin(x18))+0.0427*(sin(x19))+0.0015*(sin(x20))+-0.0651*(sin(x21))+-0.0603*(sin(x22))+-0.0241*(sin(x23))+0.1580*(sin(x24))+-0.0262*(sin(x25))+-0.0038*(sin(x26))+-0.0208*(sin(x27))+0.0039*(sin(x28))+-0.0453*(sin(x29))+-0.1240*(sin(x30))+-0.0010*(sin(x31))+-0.0801*(sin(x32))+-0.0326*(sin(x33))+-0.0433*(sin(x34))+-0.0233*(sin(x35))+0.0845*(sin(x36))+0.0645*(sin(x37))+0.0798*(sin(x38))+-0.0600*(sin(x39))+0.0763*(sin(x40))+-0.0033*(sin(x41))+-0.0012*(sin(x42))+0.0380*(sin(x43))+-0.0245*(sin(x44))+0.0171*(sin(x45))+-0.0630*(sin(x46))+-0.0249*(sin(x47))+0.1073*(sin(x48))+0.0066*(sin(x49))+-0.0170*(sin(x50))+0.5825))))**3+0.4173)	
2	0.43379641	0.03706326	0.08422889	29.32500839	(13.9522*cos((((0.8545*(cos(x0))+0.0480*(cos(x1))+0.1234*(cos(x2))+0.0523*(cos(x3))+0.1102*(cos(x4))+0.1506*(cos(x5))+0.0263*(cos(x6))+-0.0027*(cos(x7))+0.0656*(cos(x8))+0.1090*(cos(x9))+0.1000*(cos(x10))+0.0904*(cos(x11))+-0.0136*(cos(x12))+0.1463*(cos(x13))+0.0472*(cos(x14))+0.0465*(cos(x15))+0.0777*(cos(x16))+0.1010*(cos(x17))+0.0114*(cos(x18))+0.0745*(cos(x19))+0.1424*(cos(x20))+-0.0371*(cos(x21))+-0.0104*(cos(x22))+0.0793*(cos(x23))+0.0832*(cos(x24))+0.0752*(cos(x25))+0.1416*(cos(x26))+0.1338*(cos(x27))+0.0273*(cos(x28))+0.0789*(cos(x29))+0.1136*(cos(x30))+-0.0082*(cos(x31))+0.0794*(cos(x32))+0.0678*(cos(x33))+0.0436*(cos(x34))+0.0983*(cos(x35))+0.0768*(cos(x36))+0.0940*(cos(x37))+0.1076*(cos(x38))+0.0340*(cos(x39))+0.0426*(cos(x40))+0.0860*(cos(x41))+0.1229*(cos(x42))+0.0736*(cos(x43))+0.0239*(cos(x44))+0.0088*(cos(x45))+0.0517*(cos(x46))+0.0821*(cos(x47))+0.0913*(cos(x48))+0.0896*(cos(x49))+0.1596*(cos(x50))+-0.7684))+((-0.0526*(0)+-0.2629*(0)+0.0886*(0)+0.0131*(0)+-0.0736*(0)+0.1567*(0)+0.0941*(0)+-0.0954*(0)+-0.0776*(0)+0.1290*(0)+-0.0928*(0)+-0.0818*(0)+0.0321*(0)+0.1015*(0)+-0.0149*(0)+-0.1868*(0)+-0.1332*(0)+-0.0329*(0)+0.0532*(0)+0.0038*(0)+0.0541*(0)+-0.1542*(0)+0.0316*(0)+0.0518*(0)+-0.0028*(0)+-0.0910*(0)+-0.1181*(0)+-0.1836*(0)+-0.0376*(0)+0.0099*(0)+0.0236*(0)+-0.1229*(0)+0.0339*(0)+-0.0482*(0)+-0.1079*(0)+0.0064*(0)+-0.1039*(0)+-0.1463*(0)+-0.1002*(0)+0.0678*(0)+-0.1357*(0)+-0.0765*(0)+0.1960*(0)+0.0500*(0)+-0.2796*(0)+0.0456*(0)+-0.0044*(0)+0.0563*(0)+-0.0505*(0)+-0.3043*(0)+-0.1908*(0)+-0.8863))))+16.5054)	
3	0.11623218	0.03814567	0.05871163	29.32500839	(13.9522*cos((((0.8545*(cos(x0))+0.0480*(cos(x1))+0.1234*(cos(x2))+0.0523*(cos(x3))+0.1102*(cos(x4))+0.1506*(cos(x5))+0.0263*(cos(x6))+-0.0027*(cos(x7))+0.0656*(cos(x8))+0.1090*(cos(x9))+0.1000*(cos(x10))+0.0904*(cos(x11))+-0.0136*(cos(x12))+0.1463*(cos(x13))+0.0472*(cos(x14))+0.0465*(cos(x15))+0.0777*(cos(x16))+0.1010*(cos(x17))+0.0114*(cos(x18))+0.0745*(cos(x19))+0.1424*(cos(x20))+-0.0371*(cos(x21))+-0.0104*(cos(x22))+0.0793*(cos(x23))+0.0832*(cos(x24))+0.0752*(cos(x25))+0.1416*(cos(x26))+0.1338*(cos(x27))+0.0273*(cos(x28))+0.0789*(cos(x29))+0.1136*(cos(x30))+-0.0082*(cos(x31))+0.0794*(cos(x32))+0.0678*(cos(x33))+0.0436*(cos(x34))+0.0983*(cos(x35))+0.0768*(cos(x36))+0.0940*(cos(x37))+0.1076*(cos(x38))+0.0340*(cos(x39))+0.0426*(cos(x40))+0.0860*(cos(x41))+0.1229*(cos(x42))+0.0736*(cos(x43))+0.0239*(cos(x44))+0.0088*(cos(x45))+0.0517*(cos(x46))+0.0821*(cos(x47))+0.0913*(cos(x48))+0.0896*(cos(x49))+0.1596*(cos(x50))+-0.7684))+((-0.0526*(0)+-0.2629*(0)+0.0886*(0)+0.0131*(0)+-0.0736*(0)+0.1567*(0)+0.0941*(0)+-0.0954*(0)+-0.0776*(0)+0.1290*(0)+-0.0928*(0)+-0.0818*(0)+0.0321*(0)+0.1015*(0)+-0.0149*(0)+-0.1868*(0)+-0.1332*(0)+-0.0329*(0)+0.0532*(0)+0.0038*(0)+0.0541*(0)+-0.1542*(0)+0.0316*(0)+0.0518*(0)+-0.0028*(0)+-0.0910*(0)+-0.1181*(0)+-0.1836*(0)+-0.0376*(0)+0.0099*(0)+0.0236*(0)+-0.1229*(0)+0.0339*(0)+-0.0482*(0)+-0.1079*(0)+0.0064*(0)+-0.1039*(0)+-0.1463*(0)+-0.1002*(0)+0.0678*(0)+-0.1357*(0)+-0.0765*(0)+0.1960*(0)+0.0500*(0)+-0.2796*(0)+0.0456*(0)+-0.0044*(0)+0.0563*(0)+-0.0505*(0)+-0.3043*(0)+-0.1908*(0)+-0.8863))))+16.5054)	
4	0.52685654	0.04094066	0.09404546	3.46795654	(0.8800*(((0.8544*(exp(x0))+0.1364*(exp(x1))+0.1080*(exp(x2))+-0.0306*(exp(x3))+0.0093*(exp(x4))+0.0113*(exp(x5))+0.0725*(exp(x6))+0.0144*(exp(x7))+0.1017*(exp(x8))+0.0139*(exp(x9))+-0.0745*(exp(x10))+-0.0108*(exp(x11))+-0.0085*(exp(x12))+-0.0685*(exp(x13))+-0.0363*(exp(x14))+-0.0317*(exp(x15))+0.0862*(exp(x16))+0.1588*(exp(x17))+0.0765*(exp(x18))+0.1232*(exp(x19))+0.0065*(exp(x20))+-0.0053*(exp(x21))+0.0257*(exp(x22))+0.0219*(exp(x23))+0.0656*(exp(x24))+0.0541*(exp(x25))+0.1414*(exp(x26))+0.0251*(exp(x27))+0.0658*(exp(x28))+0.0107*(exp(x29))+0.0539*(exp(x30))+0.0280*(exp(x31))+0.0588*(exp(x32))+-0.0453*(exp(x33))+0.1502*(exp(x34))+0.0876*(exp(x35))+0.0907*(exp(x36))+0.0584*(exp(x37))+0.0212*(exp(x38))+0.0310*(exp(x39))+0.0101*(exp(x40))+0.0753*(exp(x41))+0.1283*(exp(x42))+0.0978*(exp(x43))+0.0483*(exp(x44))+0.0825*(exp(x45))+0.0623*(exp(x46))+-0.0379*(exp(x47))+0.0012*(exp(x48))+-0.0635*(exp(x49))+-0.2444*(exp(x50))+-0.1145))+((0.7321*((x0)**2)+0.4760*((x1)**2)+0.4108*((x2)**2)+0.3108*((x3)**2)+0.3493*((x4)**2)+0.3906*((x5)**2)+0.4832*((x6)**2)+0.3898*((x7)**2)+0.3637*((x8)**2)+0.4179*((x9)**2)+0.4468*((x10)**2)+0.4002*((x11)**2)+0.6653*((x12)**2)+0.4663*((x13)**2)+0.4636*((x14)**2)+0.4717*((x15)**2)+0.6138*((x16)**2)+0.4206*((x17)**2)+0.4642*((x18)**2)+0.3402*((x19)**2)+0.4047*((x20)**2)+0.5391*((x21)**2)+0.5624*((x22)**2)+0.4022*((x23)**2)+0.4666*((x24)**2)+0.4791*((x25)**2)+0.5448*((x26)**2)+0.5328*((x27)**2)+0.5453*((x28)**2)+0.5914*((x29)**2)+0.3251*((x30)**2)+0.3573*((x31)**2)+0.4674*((x32)**2)+0.4592*((x33)**2)+0.3699*((x34)**2)+0.4926*((x35)**2)+0.3591*((x36)**2)+0.5078*((x37)**2)+0.4775*((x38)**2)+0.4035*((x39)**2)+0.2327*((x40)**2)+0.5278*((x41)**2)+0.3967*((x42)**2)+0.3570*((x43)**2)+0.3182*((x44)**2)+0.4951*((x45)**2)+0.4838*((x46)**2)+0.3476*((x47)**2)+0.4978*((x48)**2)+0.5247*((x49)**2)+0.6050*((x50)**2)+-0.0606)))+0.0328)	
5	0.06242483	0.04249889	0.07210514	3.46795654	(0.8800*(((0.8544*(exp(x0))+0.1364*(exp(x1))+0.1080*(exp(x2))+-0.0306*(exp(x3))+0.0093*(exp(x4))+0.0113*(exp(x5))+0.0725*(exp(x6))+0.0144*(exp(x7))+0.1017*(exp(x8))+0.0139*(exp(x9))+-0.0745*(exp(x10))+-0.0108*(exp(x11))+-0.0085*(exp(x12))+-0.0685*(exp(x13))+-0.0363*(exp(x14))+-0.0317*(exp(x15))+0.0862*(exp(x16))+0.1588*(exp(x17))+0.0765*(exp(x18))+0.1232*(exp(x19))+0.0065*(exp(x20))+-0.0053*(exp(x21))+0.0257*(exp(x22))+0.0219*(exp(x23))+0.0656*(exp(x24))+0.0541*(exp(x25))+0.1414*(exp(x26))+0.0251*(exp(x27))+0.0658*(exp(x28))+0.0107*(exp(x29))+0.0539*(exp(x30))+0.0280*(exp(x31))+0.0588*(exp(x32))+-0.0453*(exp(x33))+0.1502*(exp(x34))+0.0876*(exp(x35))+0.0907*(exp(x36))+0.0584*(exp(x37))+0.0212*(exp(x38))+0.0310*(exp(x39))+0.0101*(exp(x40))+0.0753*(exp(x41))+0.1283*(exp(x42))+0.0978*(exp(x43))+0.0483*(exp(x44))+0.0825*(exp(x45))+0.0623*(exp(x46))+-0.0379*(exp(x47))+0.0012*(exp(x48))+-0.0635*(exp(x49))+-0.2444*(exp(x50))+-0.1145))+((0.7321*((x0)**2)+0.4760*((x1)**2)+0.4108*((x2)**2)+0.3108*((x3)**2)+0.3493*((x4)**2)+0.3906*((x5)**2)+0.4832*((x6)**2)+0.3898*((x7)**2)+0.3637*((x8)**2)+0.4179*((x9)**2)+0.4468*((x10)**2)+0.4002*((x11)**2)+0.6653*((x12)**2)+0.4663*((x13)**2)+0.4636*((x14)**2)+0.4717*((x15)**2)+0.6138*((x16)**2)+0.4206*((x17)**2)+0.4642*((x18)**2)+0.3402*((x19)**2)+0.4047*((x20)**2)+0.5391*((x21)**2)+0.5624*((x22)**2)+0.4022*((x23)**2)+0.4666*((x24)**2)+0.4791*((x25)**2)+0.5448*((x26)**2)+0.5328*((x27)**2)+0.5453*((x28)**2)+0.5914*((x29)**2)+0.3251*((x30)**2)+0.3573*((x31)**2)+0.4674*((x32)**2)+0.4592*((x33)**2)+0.3699*((x34)**2)+0.4926*((x35)**2)+0.3591*((x36)**2)+0.5078*((x37)**2)+0.4775*((x38)**2)+0.4035*((x39)**2)+0.2327*((x40)**2)+0.5278*((x41)**2)+0.3967*((x42)**2)+0.3570*((x43)**2)+0.3182*((x44)**2)+0.4951*((x45)**2)+0.4838*((x46)**2)+0.3476*((x47)**2)+0.4978*((x48)**2)+0.5247*((x49)**2)+0.6050*((x50)**2)+-0.0606)))+0.0328)	
6	0.18880109	0.04300687	0.05265855	3.46795654	(0.8800*(((0.8544*(exp(x0))+0.1364*(exp(x1))+0.1080*(exp(x2))+-0.0306*(exp(x3))+0.0093*(exp(x4))+0.0113*(exp(x5))+0.0725*(exp(x6))+0.0144*(exp(x7))+0.1017*(exp(x8))+0.0139*(exp(x9))+-0.0745*(exp(x10))+-0.0108*(exp(x11))+-0.0085*(exp(x12))+-0.0685*(exp(x13))+-0.0363*(exp(x14))+-0.0317*(exp(x15))+0.0862*(exp(x16))+0.1588*(exp(x17))+0.0765*(exp(x18))+0.1232*(exp(x19))+0.0065*(exp(x20))+-0.0053*(exp(x21))+0.0257*(exp(x22))+0.0219*(exp(x23))+0.0656*(exp(x24))+0.0541*(exp(x25))+0.1414*(exp(x26))+0.0251*(exp(x27))+0.0658*(exp(x28))+0.0107*(exp(x29))+0.0539*(exp(x30))+0.0280*(exp(x31))+0.0588*(exp(x32))+-0.0453*(exp(x33))+0.1502*(exp(x34))+0.0876*(exp(x35))+0.0907*(exp(x36))+0.0584*(exp(x37))+0.0212*(exp(x38))+0.0310*(exp(x39))+0.0101*(exp(x40))+0.0753*(exp(x41))+0.1283*(exp(x42))+0.0978*(exp(x43))+0.0483*(exp(x44))+0.0825*(exp(x45))+0.0623*(exp(x46))+-0.0379*(exp(x47))+0.0012*(exp(x48))+-0.0635*(exp(x49))+-0.2444*(exp(x50))+-0.1145))+((0.7321*((x0)**2)+0.4760*((x1)**2)+0.4108*((x2)**2)+0.3108*((x3)**2)+0.3493*((x4)**2)+0.3906*((x5)**2)+0.4832*((x6)**2)+0.3898*((x7)**2)+0.3637*((x8)**2)+0.4179*((x9)**2)+0.4468*((x10)**2)+0.4002*((x11)**2)+0.6653*((x12)**2)+0.4663*((x13)**2)+0.4636*((x14)**2)+0.4717*((x15)**2)+0.6138*((x16)**2)+0.4206*((x17)**2)+0.4642*((x18)**2)+0.3402*((x19)**2)+0.4047*((x20)**2)+0.5391*((x21)**2)+0.5624*((x22)**2)+0.4022*((x23)**2)+0.4666*((x24)**2)+0.4791*((x25)**2)+0.5448*((x26)**2)+0.5328*((x27)**2)+0.5453*((x28)**2)+0.5914*((x29)**2)+0.3251*((x30)**2)+0.3573*((x31)**2)+0.4674*((x32)**2)+0.4592*((x33)**2)+0.3699*((x34)**2)+0.4926*((x35)**2)+0.3591*((x36)**2)+0.5078*((x37)**2)+0.4775*((x38)**2)+0.4035*((x39)**2)+0.2327*((x40)**2)+0.5278*((x41)**2)+0.3967*((x42)**2)+0.3570*((x43)**2)+0.3182*((x44)**2)+0.4951*((x45)**2)+0.4838*((x46)**2)+0.3476*((x47)**2)+0.4978*((x48)**2)+0.5247*((x49)**2)+0.6050*((x50)**2)+-0.0606)))+0.0328)	
7	0.74843395	0.04538088	0.09048718	3.12277818	(0.8809*(((0.7319*((x0)**2)+0.3124*((x1)**2)+0.3775*((x2)**2)+0.4471*((x3)**2)+0.5508*((x4)**2)+0.4843*((x5)**2)+0.5484*((x6)**2)+0.5335*((x7)**2)+0.3975*((x8)**2)+0.2806*((x9)**2)+0.5134*((x10)**2)+0.3510*((x11)**2)+0.4508*((x12)**2)+0.3663*((x13)**2)+0.4674*((x14)**2)+0.4626*((x15)**2)+0.4854*((x16)**2)+0.6130*((x17)**2)+0.4532*((x18)**2)+0.4932*((x19)**2)+0.3230*((x20)**2)+0.4263*((x21)**2)+0.4643*((x22)**2)+0.2669*((x23)**2)+0.3822*((x24)**2)+0.4164*((x25)**2)+0.4175*((x26)**2)+0.3641*((x27)**2)+0.4644*((x28)**2)+0.4752*((x29)**2)+0.4507*((x30)**2)+0.4326*((x31)**2)+0.4022*((x32)**2)+0.3643*((x33)**2)+0.5507*((x34)**2)+0.4174*((x35)**2)+0.3590*((x36)**2)+0.4766*((x37)**2)+0.5291*((x38)**2)+0.4840*((x39)**2)+0.4733*((x40)**2)+0.4402*((x41)**2)+0.4620*((x42)**2)+0.2793*((x43)**2)+0.5842*((x44)**2)+0.3787*((x45)**2)+0.4772*((x46)**2)+0.4506*((x47)**2)+0.5454*((x48)**2)+0.4508*((x49)**2)+0.4356*((x50)**2)+0.0829))-((-0.7443*(exp(x0))+0.1034*(exp(x1))+-0.2163*(exp(x2))+-0.0573*(exp(x3))+-0.1193*(exp(x4))+-0.1452*(exp(x5))+-0.0992*(exp(x6))+-0.0952*(exp(x7))+0.1286*(exp(x8))+-0.0219*(exp(x9))+0.0533*(exp(x10))+-0.0307*(exp(x11))+-0.0563*(exp(x12))+0.0606*(exp(x13))+-0.0218*(exp(x14))+0.0869*(exp(x15))+-0.0598*(exp(x16))+-0.0003*(exp(x17))+-0.0338*(exp(x18))+-0.0533*(exp(x19))+-0.1608*(exp(x20))+-0.0135*(exp(x21))+-0.0859*(exp(x22))+0.0797*(exp(x23))+0.0126*(exp(x24))+-0.0949*(exp(x25))+0.0021*(exp(x26))+0.0243*(exp(x27))+-0.0597*(exp(x28))+-0.1654*(exp(x29))+-0.1147*(exp(x30))+-0.0813*(exp(x31))+-0.1410*(exp(x32))+0.0644*(exp(x33))+-0.0675*(exp(x34))+-0.0358*(exp(x35))+-0.1948*(exp(x36))+-0.0383*(exp(x37))+0.0186*(exp(x38))+-0.0373*(exp(x39))+0.0251*(exp(x40))+-0.0075*(exp(x41))+-0.0537*(exp(x42))+-0.0850*(exp(x43))+-0.0447*(exp(x44))+-0.0639*(exp(x45))+-0.1529*(exp(x46))+-0.0843*(exp(x47))+-0.0116*(exp(x48))+-0.0744*(exp(x49))+-0.0265*(exp(x50))+0.1567)))+-0.0141)	
8	0.45145854	0.04740803	0.08592381	3.12277818	(0.8809*(((0.7319*((x0)**2)+0.3124*((x1)**2)+0.3775*((x2)**2)+0.4471*((x3)**2)+0.5508*((x4)**2)+0.4843*((x5)**2)+0.5484*((x6)**2)+0.5335*((x7)**2)+0.3975*((x8)**2)+0.2806*((x9)**2)+0.5134*((x10)**2)+0.3510*((x11)**2)+0.4508*((x12)**2)+0.3663*((x13)**2)+0.4674*((x14)**2)+0.4626*((x15)**2)+0.4854*((x16)**2)+0.6130*((x17)**2)+0.4532*((x18)**2)+0.4932*((x19)**2)+0.3230*((x20)**2)+0.4263*((x21)**2)+0.4643*((x22)**2)+0.2669*((x23)**2)+0.3822*((x24)**2)+0.4164*((x25)**2)+0.4175*((x26)**2)+0.3641*((x27)**2)+0.4644*((x28)**2)+0.4752*((x29)**2)+0.4507*((x30)**2)+0.4326*((x31)**2)+0.4022*((x32)**2)+0.3643*((x33)**2)+0.5507*((x34)**2)+0.4174*((x35)**2)+0.3590*((x36)**2)+0.4766*((x37)**2)+0.5291*((x38)**2)+0.4840*((x39)**2)+0.4733*((x40)**2)+0.4402*((x41)**2)+0.4620*((x42)**2)+0.2793*((x43)**2)+0.5842*((x44)**2)+0.3787*((x45)**2)+0.4772*((x46)**2)+0.4506*((x47)**2)+0.5454*((x48)**2)+0.4508*((x49)**2)+0.4356*((x50)**2)+0.0829))-((-0.7443*(exp(x0))+0.1034*(exp(x1))+-0.2163*(exp(x2))+-0.0573*(exp(x3))+-0.1193*(exp(x4))+-0.1452*(exp(x5))+-0.0992*(exp(x6))+-0.0952*(exp(x7))+0.1286*(exp(x8))+-0.0219*(exp(x9))+0.0533*(exp(x10))+-0.0307*(exp(x11))+-0.0563*(exp(x12))+0.0606*(exp(x13))+-0.0218*(exp(x14))+0.0869*(exp(x15))+-0.0598*(exp(x16))+-0.0003*(exp(x17))+-0.0338*(exp(x18))+-0.0533*(exp(x19))+-0.1608*(exp(x20))+-0.0135*(exp(x21))+-0.0859*(exp(x22))+0.0797*(exp(x23))+0.0126*(exp(x24))+-0.0949*(exp(x25))+0.0021*(exp(x26))+0.0243*(exp(x27))+-0.0597*(exp(x28))+-0.1654*(exp(x29))+-0.1147*(exp(x30))+-0.0813*(exp(x31))+-0.1410*(exp(x32))+0.0644*(exp(x33))+-0.0675*(exp(x34))+-0.0358*(exp(x35))+-0.1948*(exp(x36))+-0.0383*(exp(x37))+0.0186*(exp(x38))+-0.0373*(exp(x39))+0.0251*(exp(x40))+-0.0075*(exp(x41))+-0.0537*(exp(x42))+-0.0850*(exp(x43))+-0.0447*(exp(x44))+-0.0639*(exp(x45))+-0.1529*(exp(x46))+-0.0843*(exp(x47))+-0.0116*(exp(x48))+-0.0744*(exp(x49))+-0.0265*(exp(x50))+0.1567)))+-0.0141)	
9	0.07416784	0.04826536	0.06455475	3.12277818	(0.8809*(((0.7319*((x0)**2)+0.3124*((x1)**2)+0.3775*((x2)**2)+0.4471*((x3)**2)+0.5508*((x4)**2)+0.4843*((x5)**2)+0.5484*((x6)**2)+0.5335*((x7)**2)+0.3975*((x8)**2)+0.2806*((x9)**2)+0.5134*((x10)**2)+0.3510*((x11)**2)+0.4508*((x12)**2)+0.3663*((x13)**2)+0.4674*((x14)**2)+0.4626*((x15)**2)+0.4854*((x16)**2)+0.6130*((x17)**2)+0.4532*((x18)**2)+0.4932*((x19)**2)+0.3230*((x20)**2)+0.4263*((x21)**2)+0.4643*((x22)**2)+0.2669*((x23)**2)+0.3822*((x24)**2)+0.4164*((x25)**2)+0.4175*((x26)**2)+0.3641*((x27)**2)+0.4644*((x28)**2)+0.4752*((x29)**2)+0.4507*((x30)**2)+0.4326*((x31)**2)+0.4022*((x32)**2)+0.3643*((x33)**2)+0.5507*((x34)**2)+0.4174*((x35)**2)+0.3590*((x36)**2)+0.4766*((x37)**2)+0.5291*((x38)**2)+0.4840*((x39)**2)+0.4733*((x40)**2)+0.4402*((x41)**2)+0.4620*((x42)**2)+0.2793*((x43)**2)+0.5842*((x44)**2)+0.3787*((x45)**2)+0.4772*((x46)**2)+0.4506*((x47)**2)+0.5454*((x48)**2)+0.4508*((x49)**2)+0.4356*((x50)**2)+0.0829))-((-0.7443*(exp(x0))+0.1034*(exp(x1))+-0.2163*(exp(x2))+-0.0573*(exp(x3))+-0.1193*(exp(x4))+-0.1452*(exp(x5))+-0.0992*(exp(x6))+-0.0952*(exp(x7))+0.1286*(exp(x8))+-0.0219*(exp(x9))+0.0533*(exp(x10))+-0.0307*(exp(x11))+-0.0563*(exp(x12))+0.0606*(exp(x13))+-0.0218*(exp(x14))+0.0869*(exp(x15))+-0.0598*(exp(x16))+-0.0003*(exp(x17))+-0.0338*(exp(x18))+-0.0533*(exp(x19))+-0.1608*(exp(x20))+-0.0135*(exp(x21))+-0.0859*(exp(x22))+0.0797*(exp(x23))+0.0126*(exp(x24))+-0.0949*(exp(x25))+0.0021*(exp(x26))+0.0243*(exp(x27))+-0.0597*(exp(x28))+-0.1654*(exp(x29))+-0.1147*(exp(x30))+-0.0813*(exp(x31))+-0.1410*(exp(x32))+0.0644*(exp(x33))+-0.0675*(exp(x34))+-0.0358*(exp(x35))+-0.1948*(exp(x36))+-0.0383*(exp(x37))+0.0186*(exp(x38))+-0.0373*(exp(x39))+0.0251*(exp(x40))+-0.0075*(exp(x41))+-0.0537*(exp(x42))+-0.0850*(exp(x43))+-0.0447*(exp(x44))+-0.0639*(exp(x45))+-0.1529*(exp(x46))+-0.0843*(exp(x47))+-0.0116*(exp(x48))+-0.0744*(exp(x49))+-0.0265*(exp(x50))+0.1567)))+-0.0141)	
10	0.44516975	0.05004114	0.08378106	3.12277818	(0.8809*(((0.7319*((x0)**2)+0.3124*((x1)**2)+0.3775*((x2)**2)+0.4471*((x3)**2)+0.5508*((x4)**2)+0.4843*((x5)**2)+0.5484*((x6)**2)+0.5335*((x7)**2)+0.3975*((x8)**2)+0.2806*((x9)**2)+0.5134*((x10)**2)+0.3510*((x11)**2)+0.4508*((x12)**2)+0.3663*((x13)**2)+0.4674*((x14)**2)+0.4626*((x15)**2)+0.4854*((x16)**2)+0.6130*((x17)**2)+0.4532*((x18)**2)+0.4932*((x19)**2)+0.3230*((x20)**2)+0.4263*((x21)**2)+0.4643*((x22)**2)+0.2669*((x23)**2)+0.3822*((x24)**2)+0.4164*((x25)**2)+0.4175*((x26)**2)+0.3641*((x27)**2)+0.4644*((x28)**2)+0.4752*((x29)**2)+0.4507*((x30)**2)+0.4326*((x31)**2)+0.4022*((x32)**2)+0.3643*((x33)**2)+0.5507*((x34)**2)+0.4174*((x35)**2)+0.3590*((x36)**2)+0.4766*((x37)**2)+0.5291*((x38)**2)+0.4840*((x39)**2)+0.4733*((x40)**2)+0.4402*((x41)**2)+0.4620*((x42)**2)+0.2793*((x43)**2)+0.5842*((x44)**2)+0.3787*((x45)**2)+0.4772*((x46)**2)+0.4506*((x47)**2)+0.5454*((x48)**2)+0.4508*((x49)**2)+0.4356*((x50)**2)+0.0829))-((-0.7443*(exp(x0))+0.1034*(exp(x1))+-0.2163*(exp(x2))+-0.0573*(exp(x3))+-0.1193*(exp(x4))+-0.1452*(exp(x5))+-0.0992*(exp(x6))+-0.0952*(exp(x7))+0.1286*(exp(x8))+-0.0219*(exp(x9))+0.0533*(exp(x10))+-0.0307*(exp(x11))+-0.0563*(exp(x12))+0.0606*(exp(x13))+-0.0218*(exp(x14))+0.0869*(exp(x15))+-0.0598*(exp(x16))+-0.0003*(exp(x17))+-0.0338*(exp(x18))+-0.0533*(exp(x19))+-0.1608*(exp(x20))+-0.0135*(exp(x21))+-0.0859*(exp(x22))+0.0797*(exp(x23))+0.0126*(exp(x24))+-0.0949*(exp(x25))+0.0021*(exp(x26))+0.0243*(exp(x27))+-0.0597*(exp(x28))+-0.1654*(exp(x29))+-0.1147*(exp(x30))+-0.0813*(exp(x31))+-0.1410*(exp(x32))+0.0644*(exp(x33))+-0.0675*(exp(x34))+-0.0358*(exp(x35))+-0.1948*(exp(x36))+-0.0383*(exp(x37))+0.0186*(exp(x38))+-0.0373*(exp(x39))+0.0251*(exp(x40))+-0.0075*(exp(x41))+-0.0537*(exp(x42))+-0.0850*(exp(x43))+-0.0447*(exp(x44))+-0.0639*(exp(x45))+-0.1529*(exp(x46))+-0.0843*(exp(x47))+-0.0116*(exp(x48))+-0.0744*(exp(x49))+-0.0265*(exp(x50))+0.1567)))+-0.0141)	
