iteration	loss	baseline	error	formula	error	
1	0.57217920	0.63402855	0.63402855	0.01013055	(0.7864*sin((((0.0554*(cos(x0))+0.1065*(cos(x1))+0.1649*(cos(x2))+0.0924*(cos(x3))+0.0108*(cos(x4))+0.1180*(cos(x5))+0.1527*(cos(x6))+0.1277*(cos(x7))+0.1564*(cos(x8))+0.1785*(cos(x9))+0.1805*(cos(x10))+0.1946*(cos(x11))+-0.0005*(cos(x12))+0.0880*(cos(x13))+-0.0042*(cos(x14))+0.1468*(cos(x15))+0.1913*(cos(x16))+0.1443*(cos(x17))+0.0450*(cos(x18))+-0.0376*(cos(x19))+0.1658*(cos(x20))+0.2028*(cos(x21))+0.0601*(cos(x22))+0.1760*(cos(x23))+0.0884*(cos(x24))+0.0678*(cos(x25))+0.3786))+((-0.0194*(cos(x0))+0.0773*(cos(x1))+0.0208*(cos(x2))+0.0848*(cos(x3))+0.1410*(cos(x4))+0.0628*(cos(x5))+0.0188*(cos(x6))+0.0739*(cos(x7))+0.0230*(cos(x8))+0.0163*(cos(x9))+-0.0047*(cos(x10))+-0.0164*(cos(x11))+0.1859*(cos(x12))+0.0963*(cos(x13))+0.1837*(cos(x14))+0.0290*(cos(x15))+0.0000*(cos(x16))+0.0321*(cos(x17))+0.1222*(cos(x18))+0.2161*(cos(x19))+0.0254*(cos(x20))+-0.0158*(cos(x21))+0.1243*(cos(x22))+0.0083*(cos(x23))+0.0845*(cos(x24))+0.1050*(cos(x25))+0.3773))))+1.2621)	
2	0.58235955	0.63466901	0.64683789	0.00253828	(-1.1413*sin((((-0.0082*((x0)**2)+-0.0374*((x1)**2)+-0.0346*((x2)**2)+-0.0375*((x3)**2)+-0.0355*((x4)**2)+-0.0305*((x5)**2)+-0.0329*((x6)**2)+-0.0405*((x7)**2)+-0.0313*((x8)**2)+-0.0322*((x9)**2)+-0.0302*((x10)**2)+-0.0362*((x11)**2)+-0.0365*((x12)**2)+-0.0409*((x13)**2)+-0.0389*((x14)**2)+-0.0351*((x15)**2)+-0.0379*((x16)**2)+-0.0344*((x17)**2)+-0.0363*((x18)**2)+-0.0326*((x19)**2)+-0.0337*((x20)**2)+-0.0321*((x21)**2)+-0.0345*((x22)**2)+-0.0376*((x23)**2)+-0.0345*((x24)**2)+-0.0382*((x25)**2)+0.4638))-((-0.0338*(0)+-0.1375*(0)+-0.1519*(0)+0.1168*(0)+0.0295*(0)+-0.0097*(0)+-0.1005*(0)+-0.0465*(0)+0.2118*(0)+0.1696*(0)+-0.1085*(0)+0.0344*(0)+-0.1970*(0)+0.1104*(0)+-0.0482*(0)+-0.0041*(0)+0.0722*(0)+0.2415*(0)+-0.0125*(0)+0.0112*(0)+-0.0568*(0)+0.0026*(0)+-0.0052*(0)+0.0003*(0)+0.2098*(0)+0.0083*(0)+-0.3543))))+0.9109)	
3	0.50074941	0.63707155	0.68272048	0.00253828	(-1.1413*sin((((-0.0082*((x0)**2)+-0.0374*((x1)**2)+-0.0346*((x2)**2)+-0.0375*((x3)**2)+-0.0355*((x4)**2)+-0.0305*((x5)**2)+-0.0329*((x6)**2)+-0.0405*((x7)**2)+-0.0313*((x8)**2)+-0.0322*((x9)**2)+-0.0302*((x10)**2)+-0.0362*((x11)**2)+-0.0365*((x12)**2)+-0.0409*((x13)**2)+-0.0389*((x14)**2)+-0.0351*((x15)**2)+-0.0379*((x16)**2)+-0.0344*((x17)**2)+-0.0363*((x18)**2)+-0.0326*((x19)**2)+-0.0337*((x20)**2)+-0.0321*((x21)**2)+-0.0345*((x22)**2)+-0.0376*((x23)**2)+-0.0345*((x24)**2)+-0.0382*((x25)**2)+0.4638))-((-0.0338*(0)+-0.1375*(0)+-0.1519*(0)+0.1168*(0)+0.0295*(0)+-0.0097*(0)+-0.1005*(0)+-0.0465*(0)+0.2118*(0)+0.1696*(0)+-0.1085*(0)+0.0344*(0)+-0.1970*(0)+0.1104*(0)+-0.0482*(0)+-0.0041*(0)+0.0722*(0)+0.2415*(0)+-0.0125*(0)+0.0112*(0)+-0.0568*(0)+0.0026*(0)+-0.0052*(0)+0.0003*(0)+0.2098*(0)+0.0083*(0)+-0.3543))))+0.9109)	
4	0.80420393	0.63617313	0.61910290	0.00253828	(-1.1413*sin((((-0.0082*((x0)**2)+-0.0374*((x1)**2)+-0.0346*((x2)**2)+-0.0375*((x3)**2)+-0.0355*((x4)**2)+-0.0305*((x5)**2)+-0.0329*((x6)**2)+-0.0405*((x7)**2)+-0.0313*((x8)**2)+-0.0322*((x9)**2)+-0.0302*((x10)**2)+-0.0362*((x11)**2)+-0.0365*((x12)**2)+-0.0409*((x13)**2)+-0.0389*((x14)**2)+-0.0351*((x15)**2)+-0.0379*((x16)**2)+-0.0344*((x17)**2)+-0.0363*((x18)**2)+-0.0326*((x19)**2)+-0.0337*((x20)**2)+-0.0321*((x21)**2)+-0.0345*((x22)**2)+-0.0376*((x23)**2)+-0.0345*((x24)**2)+-0.0382*((x25)**2)+0.4638))-((-0.0338*(0)+-0.1375*(0)+-0.1519*(0)+0.1168*(0)+0.0295*(0)+-0.0097*(0)+-0.1005*(0)+-0.0465*(0)+0.2118*(0)+0.1696*(0)+-0.1085*(0)+0.0344*(0)+-0.1970*(0)+0.1104*(0)+-0.0482*(0)+-0.0041*(0)+0.0722*(0)+0.2415*(0)+-0.0125*(0)+0.0112*(0)+-0.0568*(0)+0.0026*(0)+-0.0052*(0)+0.0003*(0)+0.2098*(0)+0.0083*(0)+-0.3543))))+0.9109)	
5	0.83923501	0.63974667	0.70764428	0.00253828	(-1.1413*sin((((-0.0082*((x0)**2)+-0.0374*((x1)**2)+-0.0346*((x2)**2)+-0.0375*((x3)**2)+-0.0355*((x4)**2)+-0.0305*((x5)**2)+-0.0329*((x6)**2)+-0.0405*((x7)**2)+-0.0313*((x8)**2)+-0.0322*((x9)**2)+-0.0302*((x10)**2)+-0.0362*((x11)**2)+-0.0365*((x12)**2)+-0.0409*((x13)**2)+-0.0389*((x14)**2)+-0.0351*((x15)**2)+-0.0379*((x16)**2)+-0.0344*((x17)**2)+-0.0363*((x18)**2)+-0.0326*((x19)**2)+-0.0337*((x20)**2)+-0.0321*((x21)**2)+-0.0345*((x22)**2)+-0.0376*((x23)**2)+-0.0345*((x24)**2)+-0.0382*((x25)**2)+0.4638))-((-0.0338*(0)+-0.1375*(0)+-0.1519*(0)+0.1168*(0)+0.0295*(0)+-0.0097*(0)+-0.1005*(0)+-0.0465*(0)+0.2118*(0)+0.1696*(0)+-0.1085*(0)+0.0344*(0)+-0.1970*(0)+0.1104*(0)+-0.0482*(0)+-0.0041*(0)+0.0722*(0)+0.2415*(0)+-0.0125*(0)+0.0112*(0)+-0.0568*(0)+0.0026*(0)+-0.0052*(0)+0.0003*(0)+0.2098*(0)+0.0083*(0)+-0.3543))))+0.9109)	
6	0.50950950	0.63863546	0.61752301	0.00253828	(-1.1413*sin((((-0.0082*((x0)**2)+-0.0374*((x1)**2)+-0.0346*((x2)**2)+-0.0375*((x3)**2)+-0.0355*((x4)**2)+-0.0305*((x5)**2)+-0.0329*((x6)**2)+-0.0405*((x7)**2)+-0.0313*((x8)**2)+-0.0322*((x9)**2)+-0.0302*((x10)**2)+-0.0362*((x11)**2)+-0.0365*((x12)**2)+-0.0409*((x13)**2)+-0.0389*((x14)**2)+-0.0351*((x15)**2)+-0.0379*((x16)**2)+-0.0344*((x17)**2)+-0.0363*((x18)**2)+-0.0326*((x19)**2)+-0.0337*((x20)**2)+-0.0321*((x21)**2)+-0.0345*((x22)**2)+-0.0376*((x23)**2)+-0.0345*((x24)**2)+-0.0382*((x25)**2)+0.4638))-((-0.0338*(0)+-0.1375*(0)+-0.1519*(0)+0.1168*(0)+0.0295*(0)+-0.0097*(0)+-0.1005*(0)+-0.0465*(0)+0.2118*(0)+0.1696*(0)+-0.1085*(0)+0.0344*(0)+-0.1970*(0)+0.1104*(0)+-0.0482*(0)+-0.0041*(0)+0.0722*(0)+0.2415*(0)+-0.0125*(0)+0.0112*(0)+-0.0568*(0)+0.0026*(0)+-0.0052*(0)+0.0003*(0)+0.2098*(0)+0.0083*(0)+-0.3543))))+0.9109)	
7	0.14827596	0.63959450	0.65781635	0.00253828	(-1.1413*sin((((-0.0082*((x0)**2)+-0.0374*((x1)**2)+-0.0346*((x2)**2)+-0.0375*((x3)**2)+-0.0355*((x4)**2)+-0.0305*((x5)**2)+-0.0329*((x6)**2)+-0.0405*((x7)**2)+-0.0313*((x8)**2)+-0.0322*((x9)**2)+-0.0302*((x10)**2)+-0.0362*((x11)**2)+-0.0365*((x12)**2)+-0.0409*((x13)**2)+-0.0389*((x14)**2)+-0.0351*((x15)**2)+-0.0379*((x16)**2)+-0.0344*((x17)**2)+-0.0363*((x18)**2)+-0.0326*((x19)**2)+-0.0337*((x20)**2)+-0.0321*((x21)**2)+-0.0345*((x22)**2)+-0.0376*((x23)**2)+-0.0345*((x24)**2)+-0.0382*((x25)**2)+0.4638))-((-0.0338*(0)+-0.1375*(0)+-0.1519*(0)+0.1168*(0)+0.0295*(0)+-0.0097*(0)+-0.1005*(0)+-0.0465*(0)+0.2118*(0)+0.1696*(0)+-0.1085*(0)+0.0344*(0)+-0.1970*(0)+0.1104*(0)+-0.0482*(0)+-0.0041*(0)+0.0722*(0)+0.2415*(0)+-0.0125*(0)+0.0112*(0)+-0.0568*(0)+0.0026*(0)+-0.0052*(0)+0.0003*(0)+0.2098*(0)+0.0083*(0)+-0.3543))))+0.9109)	
8	0.31499144	0.63885361	0.62477666	0.00253828	(-1.1413*sin((((-0.0082*((x0)**2)+-0.0374*((x1)**2)+-0.0346*((x2)**2)+-0.0375*((x3)**2)+-0.0355*((x4)**2)+-0.0305*((x5)**2)+-0.0329*((x6)**2)+-0.0405*((x7)**2)+-0.0313*((x8)**2)+-0.0322*((x9)**2)+-0.0302*((x10)**2)+-0.0362*((x11)**2)+-0.0365*((x12)**2)+-0.0409*((x13)**2)+-0.0389*((x14)**2)+-0.0351*((x15)**2)+-0.0379*((x16)**2)+-0.0344*((x17)**2)+-0.0363*((x18)**2)+-0.0326*((x19)**2)+-0.0337*((x20)**2)+-0.0321*((x21)**2)+-0.0345*((x22)**2)+-0.0376*((x23)**2)+-0.0345*((x24)**2)+-0.0382*((x25)**2)+0.4638))-((-0.0338*(0)+-0.1375*(0)+-0.1519*(0)+0.1168*(0)+0.0295*(0)+-0.0097*(0)+-0.1005*(0)+-0.0465*(0)+0.2118*(0)+0.1696*(0)+-0.1085*(0)+0.0344*(0)+-0.1970*(0)+0.1104*(0)+-0.0482*(0)+-0.0041*(0)+0.0722*(0)+0.2415*(0)+-0.0125*(0)+0.0112*(0)+-0.0568*(0)+0.0026*(0)+-0.0052*(0)+0.0003*(0)+0.2098*(0)+0.0083*(0)+-0.3543))))+0.9109)	
9	0.59835911	0.63801521	0.62208480	0.00253828	(-1.1413*sin((((-0.0082*((x0)**2)+-0.0374*((x1)**2)+-0.0346*((x2)**2)+-0.0375*((x3)**2)+-0.0355*((x4)**2)+-0.0305*((x5)**2)+-0.0329*((x6)**2)+-0.0405*((x7)**2)+-0.0313*((x8)**2)+-0.0322*((x9)**2)+-0.0302*((x10)**2)+-0.0362*((x11)**2)+-0.0365*((x12)**2)+-0.0409*((x13)**2)+-0.0389*((x14)**2)+-0.0351*((x15)**2)+-0.0379*((x16)**2)+-0.0344*((x17)**2)+-0.0363*((x18)**2)+-0.0326*((x19)**2)+-0.0337*((x20)**2)+-0.0321*((x21)**2)+-0.0345*((x22)**2)+-0.0376*((x23)**2)+-0.0345*((x24)**2)+-0.0382*((x25)**2)+0.4638))-((-0.0338*(0)+-0.1375*(0)+-0.1519*(0)+0.1168*(0)+0.0295*(0)+-0.0097*(0)+-0.1005*(0)+-0.0465*(0)+0.2118*(0)+0.1696*(0)+-0.1085*(0)+0.0344*(0)+-0.1970*(0)+0.1104*(0)+-0.0482*(0)+-0.0041*(0)+0.0722*(0)+0.2415*(0)+-0.0125*(0)+0.0112*(0)+-0.0568*(0)+0.0026*(0)+-0.0052*(0)+0.0003*(0)+0.2098*(0)+0.0083*(0)+-0.3543))))+0.9109)	
10	0.76124609	0.64081043	0.69391966	0.00253828	(-1.1413*sin((((-0.0082*((x0)**2)+-0.0374*((x1)**2)+-0.0346*((x2)**2)+-0.0375*((x3)**2)+-0.0355*((x4)**2)+-0.0305*((x5)**2)+-0.0329*((x6)**2)+-0.0405*((x7)**2)+-0.0313*((x8)**2)+-0.0322*((x9)**2)+-0.0302*((x10)**2)+-0.0362*((x11)**2)+-0.0365*((x12)**2)+-0.0409*((x13)**2)+-0.0389*((x14)**2)+-0.0351*((x15)**2)+-0.0379*((x16)**2)+-0.0344*((x17)**2)+-0.0363*((x18)**2)+-0.0326*((x19)**2)+-0.0337*((x20)**2)+-0.0321*((x21)**2)+-0.0345*((x22)**2)+-0.0376*((x23)**2)+-0.0345*((x24)**2)+-0.0382*((x25)**2)+0.4638))-((-0.0338*(0)+-0.1375*(0)+-0.1519*(0)+0.1168*(0)+0.0295*(0)+-0.0097*(0)+-0.1005*(0)+-0.0465*(0)+0.2118*(0)+0.1696*(0)+-0.1085*(0)+0.0344*(0)+-0.1970*(0)+0.1104*(0)+-0.0482*(0)+-0.0041*(0)+0.0722*(0)+0.2415*(0)+-0.0125*(0)+0.0112*(0)+-0.0568*(0)+0.0026*(0)+-0.0052*(0)+0.0003*(0)+0.2098*(0)+0.0083*(0)+-0.3543))))+0.9109)	
