iteration	loss	baseline	error	formula	error	
1	0.51894230	0.67628366	0.67628366	0.03401998	(0.0405*(((0.1366*((x0)**4)+0.0890*((x1)**4)+0.1234*((x2)**4)+0.0957*((x3)**4)+0.1105*((x4)**4)+0.1306*((x5)**4)+0.0935*((x6)**4)+0.1032*((x7)**4)+0.0834*((x8)**4)+0.1067*((x9)**4)+0.1031*((x10)**4)+0.0935*((x11)**4)+0.0979*((x12)**4)+0.0927*((x13)**4)+0.1384*((x14)**4)+0.0996*((x15)**4)+0.0981*((x16)**4)+0.1121*((x17)**4)+0.0970*((x18)**4)+0.1210*((x19)**4)+0.1233*((x20)**4)+0.1016*((x21)**4)+0.1004*((x22)**4)+0.0927*((x23)**4)+0.1059*((x24)**4)+0.1088*((x25)**4)+0.1315))-((-0.2472*(exp(x0))+-0.1847*(exp(x1))+-0.1340*(exp(x2))+-0.0814*(exp(x3))+-0.0997*(exp(x4))+-0.0377*(exp(x5))+-0.1781*(exp(x6))+-0.2217*(exp(x7))+-0.1378*(exp(x8))+-0.1352*(exp(x9))+-0.1997*(exp(x10))+-0.1801*(exp(x11))+-0.1812*(exp(x12))+-0.1389*(exp(x13))+-0.1621*(exp(x14))+0.0181*(exp(x15))+-0.1829*(exp(x16))+-0.1630*(exp(x17))+-0.1767*(exp(x18))+-0.0283*(exp(x19))+0.0153*(exp(x20))+-0.0583*(exp(x21))+-0.2505*(exp(x22))+-0.1968*(exp(x23))+-0.2565*(exp(x24))+-0.0839*(exp(x25))+-0.1269)))+0.4009)	
2	0.50639153	0.67224616	0.59553403	0.03401998	(0.0405*(((0.1366*((x0)**4)+0.0890*((x1)**4)+0.1234*((x2)**4)+0.0957*((x3)**4)+0.1105*((x4)**4)+0.1306*((x5)**4)+0.0935*((x6)**4)+0.1032*((x7)**4)+0.0834*((x8)**4)+0.1067*((x9)**4)+0.1031*((x10)**4)+0.0935*((x11)**4)+0.0979*((x12)**4)+0.0927*((x13)**4)+0.1384*((x14)**4)+0.0996*((x15)**4)+0.0981*((x16)**4)+0.1121*((x17)**4)+0.0970*((x18)**4)+0.1210*((x19)**4)+0.1233*((x20)**4)+0.1016*((x21)**4)+0.1004*((x22)**4)+0.0927*((x23)**4)+0.1059*((x24)**4)+0.1088*((x25)**4)+0.1315))-((-0.2472*(exp(x0))+-0.1847*(exp(x1))+-0.1340*(exp(x2))+-0.0814*(exp(x3))+-0.0997*(exp(x4))+-0.0377*(exp(x5))+-0.1781*(exp(x6))+-0.2217*(exp(x7))+-0.1378*(exp(x8))+-0.1352*(exp(x9))+-0.1997*(exp(x10))+-0.1801*(exp(x11))+-0.1812*(exp(x12))+-0.1389*(exp(x13))+-0.1621*(exp(x14))+0.0181*(exp(x15))+-0.1829*(exp(x16))+-0.1630*(exp(x17))+-0.1767*(exp(x18))+-0.0283*(exp(x19))+0.0153*(exp(x20))+-0.0583*(exp(x21))+-0.2505*(exp(x22))+-0.1968*(exp(x23))+-0.2565*(exp(x24))+-0.0839*(exp(x25))+-0.1269)))+0.4009)	
3	0.85903293	0.67621249	0.75157320	0.00386137	(1.0328*sin((((-0.0732*((x0)**2)+0.0291*((x1)**2)+0.0446*((x2)**2)+0.0476*((x3)**2)+0.0383*((x4)**2)+0.0404*((x5)**2)+0.0379*((x6)**2)+0.0396*((x7)**2)+0.0309*((x8)**2)+0.0363*((x9)**2)+0.0430*((x10)**2)+0.0352*((x11)**2)+0.0347*((x12)**2)+0.0356*((x13)**2)+0.0333*((x14)**2)+0.0451*((x15)**2)+0.0383*((x16)**2)+0.0412*((x17)**2)+0.0385*((x18)**2)+0.0365*((x19)**2)+0.0402*((x20)**2)+0.0343*((x21)**2)+0.0414*((x22)**2)+0.0405*((x23)**2)+0.0374*((x24)**2)+0.0390*((x25)**2)+-0.4608))+((0.1129*(x0)+0.0032*(x1)+-0.0020*(x2)+-0.0029*(x3)+-0.0019*(x4)+0.0022*(x5)+-0.0017*(x6)+0.0011*(x7)+0.0006*(x8)+-0.0032*(x9)+-0.0026*(x10)+-0.0051*(x11)+-0.0039*(x12)+-0.0042*(x13)+-0.0072*(x14)+0.0015*(x15)+0.0015*(x16)+-0.0016*(x17)+0.0030*(x18)+0.0028*(x19)+-0.0014*(x20)+0.0019*(x21)+0.0031*(x22)+0.0016*(x23)+-0.0027*(x24)+0.0074*(x25)+-0.3729))))+0.8090)	
4	1.40395057	0.68101990	0.77236080	0.00000001	(-0.1650*(((0.1549*(1)+-0.1767*(1)+-0.1856*(1)+-0.1294*(1)+-0.1020*(1)+-0.1062*(1)+0.0223*(1)+-0.0834*(1)+-0.2433*(1)+-0.0681*(1)+-0.0221*(1)+-0.0621*(1)+-0.0293*(1)+-0.0117*(1)+0.0677*(1)+-0.1928*(1)+-0.0446*(1)+-0.1485*(1)+-0.0519*(1)+-0.1355*(1)+-0.0245*(1)+0.0200*(1)+-0.0910*(1)+-0.1066*(1)+-0.0438*(1)+-0.0706*(1)+-0.1219))+((-0.1685*((x0)**2)+-0.2384*((x1)**2)+-0.2461*((x2)**2)+-0.2254*((x3)**2)+-0.2551*((x4)**2)+-0.2384*((x5)**2)+-0.2072*((x6)**2)+-0.2215*((x7)**2)+-0.2195*((x8)**2)+-0.2339*((x9)**2)+-0.1959*((x10)**2)+-0.2166*((x11)**2)+-0.2499*((x12)**2)+-0.2253*((x13)**2)+-0.2424*((x14)**2)+-0.2158*((x15)**2)+-0.2222*((x16)**2)+-0.2323*((x17)**2)+-0.2302*((x18)**2)+-0.2452*((x19)**2)+-0.2108*((x20)**2)+-0.2313*((x21)**2)+-0.2161*((x22)**2)+-0.2468*((x23)**2)+-0.2419*((x24)**2)+-0.2408*((x25)**2)+-0.2283)))+-0.3433)	
5	0.11625820	0.67485338	0.55768937	0.00000001	(-0.1650*(((0.1549*(1)+-0.1767*(1)+-0.1856*(1)+-0.1294*(1)+-0.1020*(1)+-0.1062*(1)+0.0223*(1)+-0.0834*(1)+-0.2433*(1)+-0.0681*(1)+-0.0221*(1)+-0.0621*(1)+-0.0293*(1)+-0.0117*(1)+0.0677*(1)+-0.1928*(1)+-0.0446*(1)+-0.1485*(1)+-0.0519*(1)+-0.1355*(1)+-0.0245*(1)+0.0200*(1)+-0.0910*(1)+-0.1066*(1)+-0.0438*(1)+-0.0706*(1)+-0.1219))+((-0.1685*((x0)**2)+-0.2384*((x1)**2)+-0.2461*((x2)**2)+-0.2254*((x3)**2)+-0.2551*((x4)**2)+-0.2384*((x5)**2)+-0.2072*((x6)**2)+-0.2215*((x7)**2)+-0.2195*((x8)**2)+-0.2339*((x9)**2)+-0.1959*((x10)**2)+-0.2166*((x11)**2)+-0.2499*((x12)**2)+-0.2253*((x13)**2)+-0.2424*((x14)**2)+-0.2158*((x15)**2)+-0.2222*((x16)**2)+-0.2323*((x17)**2)+-0.2302*((x18)**2)+-0.2452*((x19)**2)+-0.2108*((x20)**2)+-0.2313*((x21)**2)+-0.2161*((x22)**2)+-0.2468*((x23)**2)+-0.2419*((x24)**2)+-0.2408*((x25)**2)+-0.2283)))+-0.3433)	
6	0.17006308	0.67441285	0.66604275	0.00000001	(-0.1650*(((0.1549*(1)+-0.1767*(1)+-0.1856*(1)+-0.1294*(1)+-0.1020*(1)+-0.1062*(1)+0.0223*(1)+-0.0834*(1)+-0.2433*(1)+-0.0681*(1)+-0.0221*(1)+-0.0621*(1)+-0.0293*(1)+-0.0117*(1)+0.0677*(1)+-0.1928*(1)+-0.0446*(1)+-0.1485*(1)+-0.0519*(1)+-0.1355*(1)+-0.0245*(1)+0.0200*(1)+-0.0910*(1)+-0.1066*(1)+-0.0438*(1)+-0.0706*(1)+-0.1219))+((-0.1685*((x0)**2)+-0.2384*((x1)**2)+-0.2461*((x2)**2)+-0.2254*((x3)**2)+-0.2551*((x4)**2)+-0.2384*((x5)**2)+-0.2072*((x6)**2)+-0.2215*((x7)**2)+-0.2195*((x8)**2)+-0.2339*((x9)**2)+-0.1959*((x10)**2)+-0.2166*((x11)**2)+-0.2499*((x12)**2)+-0.2253*((x13)**2)+-0.2424*((x14)**2)+-0.2158*((x15)**2)+-0.2222*((x16)**2)+-0.2323*((x17)**2)+-0.2302*((x18)**2)+-0.2452*((x19)**2)+-0.2108*((x20)**2)+-0.2313*((x21)**2)+-0.2161*((x22)**2)+-0.2468*((x23)**2)+-0.2419*((x24)**2)+-0.2408*((x25)**2)+-0.2283)))+-0.3433)	
7	0.61260933	0.67729479	0.73205262	0.00000001	(-0.1650*(((0.1549*(1)+-0.1767*(1)+-0.1856*(1)+-0.1294*(1)+-0.1020*(1)+-0.1062*(1)+0.0223*(1)+-0.0834*(1)+-0.2433*(1)+-0.0681*(1)+-0.0221*(1)+-0.0621*(1)+-0.0293*(1)+-0.0117*(1)+0.0677*(1)+-0.1928*(1)+-0.0446*(1)+-0.1485*(1)+-0.0519*(1)+-0.1355*(1)+-0.0245*(1)+0.0200*(1)+-0.0910*(1)+-0.1066*(1)+-0.0438*(1)+-0.0706*(1)+-0.1219))+((-0.1685*((x0)**2)+-0.2384*((x1)**2)+-0.2461*((x2)**2)+-0.2254*((x3)**2)+-0.2551*((x4)**2)+-0.2384*((x5)**2)+-0.2072*((x6)**2)+-0.2215*((x7)**2)+-0.2195*((x8)**2)+-0.2339*((x9)**2)+-0.1959*((x10)**2)+-0.2166*((x11)**2)+-0.2499*((x12)**2)+-0.2253*((x13)**2)+-0.2424*((x14)**2)+-0.2158*((x15)**2)+-0.2222*((x16)**2)+-0.2323*((x17)**2)+-0.2302*((x18)**2)+-0.2452*((x19)**2)+-0.2108*((x20)**2)+-0.2313*((x21)**2)+-0.2161*((x22)**2)+-0.2468*((x23)**2)+-0.2419*((x24)**2)+-0.2408*((x25)**2)+-0.2283)))+-0.3433)	
8	0.75608450	0.67889911	0.70938140	0.00000001	(-0.1650*(((0.1549*(1)+-0.1767*(1)+-0.1856*(1)+-0.1294*(1)+-0.1020*(1)+-0.1062*(1)+0.0223*(1)+-0.0834*(1)+-0.2433*(1)+-0.0681*(1)+-0.0221*(1)+-0.0621*(1)+-0.0293*(1)+-0.0117*(1)+0.0677*(1)+-0.1928*(1)+-0.0446*(1)+-0.1485*(1)+-0.0519*(1)+-0.1355*(1)+-0.0245*(1)+0.0200*(1)+-0.0910*(1)+-0.1066*(1)+-0.0438*(1)+-0.0706*(1)+-0.1219))+((-0.1685*((x0)**2)+-0.2384*((x1)**2)+-0.2461*((x2)**2)+-0.2254*((x3)**2)+-0.2551*((x4)**2)+-0.2384*((x5)**2)+-0.2072*((x6)**2)+-0.2215*((x7)**2)+-0.2195*((x8)**2)+-0.2339*((x9)**2)+-0.1959*((x10)**2)+-0.2166*((x11)**2)+-0.2499*((x12)**2)+-0.2253*((x13)**2)+-0.2424*((x14)**2)+-0.2158*((x15)**2)+-0.2222*((x16)**2)+-0.2323*((x17)**2)+-0.2302*((x18)**2)+-0.2452*((x19)**2)+-0.2108*((x20)**2)+-0.2313*((x21)**2)+-0.2161*((x22)**2)+-0.2468*((x23)**2)+-0.2419*((x24)**2)+-0.2408*((x25)**2)+-0.2283)))+-0.3433)	
9	0.60745108	0.67927074	0.68633163	0.00000000	(-0.1805*(((-0.1281*((x0)**2)+-0.2228*((x1)**2)+-0.2183*((x2)**2)+-0.2234*((x3)**2)+-0.2140*((x4)**2)+-0.2217*((x5)**2)+-0.2186*((x6)**2)+-0.2339*((x7)**2)+-0.1960*((x8)**2)+-0.1936*((x9)**2)+-0.2071*((x10)**2)+-0.2041*((x11)**2)+-0.2069*((x12)**2)+-0.2135*((x13)**2)+-0.2211*((x14)**2)+-0.2104*((x15)**2)+-0.1973*((x16)**2)+-0.2262*((x17)**2)+-0.2056*((x18)**2)+-0.2203*((x19)**2)+-0.2025*((x20)**2)+-0.2200*((x21)**2)+-0.1978*((x22)**2)+-0.2086*((x23)**2)+-0.2257*((x24)**2)+-0.1972*((x25)**2)+-0.1044))+((-0.0711*(1)+0.0504*(1)+0.0951*(1)+-0.0246*(1)+0.0551*(1)+-0.0730*(1)+0.0766*(1)+-0.0278*(1)+-0.0578*(1)+0.0280*(1)+-0.0766*(1)+-0.2052*(1)+0.0379*(1)+-0.2801*(1)+0.0252*(1)+0.0883*(1)+0.0392*(1)+0.0636*(1)+0.0111*(1)+-0.0100*(1)+-0.0270*(1)+-0.0094*(1)+-0.0923*(1)+-0.0560*(1)+-0.0366*(1)+-0.0321*(1)+-0.0384)))+-0.0999)	
10	0.75007838	0.67458594	0.58557492	0.00000000	(-0.1805*(((-0.1281*((x0)**2)+-0.2228*((x1)**2)+-0.2183*((x2)**2)+-0.2234*((x3)**2)+-0.2140*((x4)**2)+-0.2217*((x5)**2)+-0.2186*((x6)**2)+-0.2339*((x7)**2)+-0.1960*((x8)**2)+-0.1936*((x9)**2)+-0.2071*((x10)**2)+-0.2041*((x11)**2)+-0.2069*((x12)**2)+-0.2135*((x13)**2)+-0.2211*((x14)**2)+-0.2104*((x15)**2)+-0.1973*((x16)**2)+-0.2262*((x17)**2)+-0.2056*((x18)**2)+-0.2203*((x19)**2)+-0.2025*((x20)**2)+-0.2200*((x21)**2)+-0.1978*((x22)**2)+-0.2086*((x23)**2)+-0.2257*((x24)**2)+-0.1972*((x25)**2)+-0.1044))+((-0.0711*(1)+0.0504*(1)+0.0951*(1)+-0.0246*(1)+0.0551*(1)+-0.0730*(1)+0.0766*(1)+-0.0278*(1)+-0.0578*(1)+0.0280*(1)+-0.0766*(1)+-0.2052*(1)+0.0379*(1)+-0.2801*(1)+0.0252*(1)+0.0883*(1)+0.0392*(1)+0.0636*(1)+0.0111*(1)+-0.0100*(1)+-0.0270*(1)+-0.0094*(1)+-0.0923*(1)+-0.0560*(1)+-0.0366*(1)+-0.0321*(1)+-0.0384)))+-0.0999)	
