iteration	loss	baseline	error	formula	error	
1	1.81553710	0.49472234	0.49472234	0.03094492	(0.0304*(((0.0878*((x0)**3)+-0.0468*((x1)**3)+-0.0328*((x2)**3)+-0.0059*((x3)**3)+-0.0442*((x4)**3)+0.0332*((x5)**3)+0.0109*((x6)**3)+0.0157*((x7)**3)+0.0184*((x8)**3)+-0.0984*((x9)**3)+0.0720*((x10)**3)+0.0436*((x11)**3)+0.0421*((x12)**3)+0.0047*((x13)**3)+0.0485*((x14)**3)+0.0390*((x15)**3)+0.0367*((x16)**3)+0.0351*((x17)**3)+0.0246*((x18)**3)+-0.0052*((x19)**3)+-0.0218*((x20)**3)+-0.1235*((x21)**3)+0.0274*((x22)**3)+-0.0098*((x23)**3)+-0.0046*((x24)**3)+-0.0024*((x25)**3)+0.2966))-((-0.2332*((x0)**4)+-0.1418*((x1)**4)+-0.1461*((x2)**4)+-0.0495*((x3)**4)+-0.2072*((x4)**4)+-0.3180*((x5)**4)+-0.1223*((x6)**4)+-0.1346*((x7)**4)+-0.1652*((x8)**4)+-0.1281*((x9)**4)+-0.1873*((x10)**4)+-0.1722*((x11)**4)+-0.1390*((x12)**4)+-0.1508*((x13)**4)+-0.1089*((x14)**4)+-0.1421*((x15)**4)+-0.1541*((x16)**4)+-0.2412*((x17)**4)+-0.0540*((x18)**4)+-0.1753*((x19)**4)+-0.1983*((x20)**4)+-0.0969*((x21)**4)+-0.1478*((x22)**4)+-0.1303*((x23)**4)+-0.0549*((x24)**4)+-0.2401*((x25)**4)+-0.3226)))+0.6409)	
2	0.58202386	0.50225389	0.64535367	0.03094492	(0.0304*(((0.0878*((x0)**3)+-0.0468*((x1)**3)+-0.0328*((x2)**3)+-0.0059*((x3)**3)+-0.0442*((x4)**3)+0.0332*((x5)**3)+0.0109*((x6)**3)+0.0157*((x7)**3)+0.0184*((x8)**3)+-0.0984*((x9)**3)+0.0720*((x10)**3)+0.0436*((x11)**3)+0.0421*((x12)**3)+0.0047*((x13)**3)+0.0485*((x14)**3)+0.0390*((x15)**3)+0.0367*((x16)**3)+0.0351*((x17)**3)+0.0246*((x18)**3)+-0.0052*((x19)**3)+-0.0218*((x20)**3)+-0.1235*((x21)**3)+0.0274*((x22)**3)+-0.0098*((x23)**3)+-0.0046*((x24)**3)+-0.0024*((x25)**3)+0.2966))-((-0.2332*((x0)**4)+-0.1418*((x1)**4)+-0.1461*((x2)**4)+-0.0495*((x3)**4)+-0.2072*((x4)**4)+-0.3180*((x5)**4)+-0.1223*((x6)**4)+-0.1346*((x7)**4)+-0.1652*((x8)**4)+-0.1281*((x9)**4)+-0.1873*((x10)**4)+-0.1722*((x11)**4)+-0.1390*((x12)**4)+-0.1508*((x13)**4)+-0.1089*((x14)**4)+-0.1421*((x15)**4)+-0.1541*((x16)**4)+-0.2412*((x17)**4)+-0.0540*((x18)**4)+-0.1753*((x19)**4)+-0.1983*((x20)**4)+-0.0969*((x21)**4)+-0.1478*((x22)**4)+-0.1303*((x23)**4)+-0.0549*((x24)**4)+-0.2401*((x25)**4)+-0.3226)))+0.6409)	
3	0.32377326	0.50735050	0.60418552	0.03094492	(0.0304*(((0.0878*((x0)**3)+-0.0468*((x1)**3)+-0.0328*((x2)**3)+-0.0059*((x3)**3)+-0.0442*((x4)**3)+0.0332*((x5)**3)+0.0109*((x6)**3)+0.0157*((x7)**3)+0.0184*((x8)**3)+-0.0984*((x9)**3)+0.0720*((x10)**3)+0.0436*((x11)**3)+0.0421*((x12)**3)+0.0047*((x13)**3)+0.0485*((x14)**3)+0.0390*((x15)**3)+0.0367*((x16)**3)+0.0351*((x17)**3)+0.0246*((x18)**3)+-0.0052*((x19)**3)+-0.0218*((x20)**3)+-0.1235*((x21)**3)+0.0274*((x22)**3)+-0.0098*((x23)**3)+-0.0046*((x24)**3)+-0.0024*((x25)**3)+0.2966))-((-0.2332*((x0)**4)+-0.1418*((x1)**4)+-0.1461*((x2)**4)+-0.0495*((x3)**4)+-0.2072*((x4)**4)+-0.3180*((x5)**4)+-0.1223*((x6)**4)+-0.1346*((x7)**4)+-0.1652*((x8)**4)+-0.1281*((x9)**4)+-0.1873*((x10)**4)+-0.1722*((x11)**4)+-0.1390*((x12)**4)+-0.1508*((x13)**4)+-0.1089*((x14)**4)+-0.1421*((x15)**4)+-0.1541*((x16)**4)+-0.2412*((x17)**4)+-0.0540*((x18)**4)+-0.1753*((x19)**4)+-0.1983*((x20)**4)+-0.0969*((x21)**4)+-0.1478*((x22)**4)+-0.1303*((x23)**4)+-0.0549*((x24)**4)+-0.2401*((x25)**4)+-0.3226)))+0.6409)	
4	0.78560483	0.51580691	0.67647916	0.01171721	(-1.0296*sin((((-0.0317*(cos(x0))+-0.1132*(cos(x1))+-0.1016*(cos(x2))+-0.1215*(cos(x3))+-0.1449*(cos(x4))+-0.1130*(cos(x5))+-0.1240*(cos(x6))+-0.1199*(cos(x7))+-0.1320*(cos(x8))+-0.1317*(cos(x9))+-0.1336*(cos(x10))+-0.1433*(cos(x11))+-0.1323*(cos(x12))+-0.1468*(cos(x13))+-0.1420*(cos(x14))+-0.1282*(cos(x15))+-0.1125*(cos(x16))+-0.1334*(cos(x17))+-0.1384*(cos(x18))+-0.1277*(cos(x19))+-0.1320*(cos(x20))+-0.1244*(cos(x21))+-0.1227*(cos(x22))+-0.1331*(cos(x23))+-0.1213*(cos(x24))+-0.1264*(cos(x25))+-0.1197))-((0.1286*(1)+0.1168*(1)+0.1618*(1)+0.0323*(1)+-0.0176*(1)+0.1081*(1)+0.0763*(1)+-0.0861*(1)+0.1681*(1)+0.0517*(1)+-0.0659*(1)+0.0097*(1)+0.0225*(1)+0.2433*(1)+0.1702*(1)+-0.0034*(1)+0.0577*(1)+0.0550*(1)+0.0081*(1)+0.0856*(1)+-0.0445*(1)+-0.0617*(1)+0.0595*(1)+0.0084*(1)+-0.1095*(1)+-0.0456*(1)+0.0103))))+1.0744)	
5	0.38814873	0.52331728	0.66601509	0.01171721	(-1.0296*sin((((-0.0317*(cos(x0))+-0.1132*(cos(x1))+-0.1016*(cos(x2))+-0.1215*(cos(x3))+-0.1449*(cos(x4))+-0.1130*(cos(x5))+-0.1240*(cos(x6))+-0.1199*(cos(x7))+-0.1320*(cos(x8))+-0.1317*(cos(x9))+-0.1336*(cos(x10))+-0.1433*(cos(x11))+-0.1323*(cos(x12))+-0.1468*(cos(x13))+-0.1420*(cos(x14))+-0.1282*(cos(x15))+-0.1125*(cos(x16))+-0.1334*(cos(x17))+-0.1384*(cos(x18))+-0.1277*(cos(x19))+-0.1320*(cos(x20))+-0.1244*(cos(x21))+-0.1227*(cos(x22))+-0.1331*(cos(x23))+-0.1213*(cos(x24))+-0.1264*(cos(x25))+-0.1197))-((0.1286*(1)+0.1168*(1)+0.1618*(1)+0.0323*(1)+-0.0176*(1)+0.1081*(1)+0.0763*(1)+-0.0861*(1)+0.1681*(1)+0.0517*(1)+-0.0659*(1)+0.0097*(1)+0.0225*(1)+0.2433*(1)+0.1702*(1)+-0.0034*(1)+0.0577*(1)+0.0550*(1)+0.0081*(1)+0.0856*(1)+-0.0445*(1)+-0.0617*(1)+0.0595*(1)+0.0084*(1)+-0.1095*(1)+-0.0456*(1)+0.0103))))+1.0744)	
6	0.34771931	0.52506763	0.55832404	0.01171721	(-1.0296*sin((((-0.0317*(cos(x0))+-0.1132*(cos(x1))+-0.1016*(cos(x2))+-0.1215*(cos(x3))+-0.1449*(cos(x4))+-0.1130*(cos(x5))+-0.1240*(cos(x6))+-0.1199*(cos(x7))+-0.1320*(cos(x8))+-0.1317*(cos(x9))+-0.1336*(cos(x10))+-0.1433*(cos(x11))+-0.1323*(cos(x12))+-0.1468*(cos(x13))+-0.1420*(cos(x14))+-0.1282*(cos(x15))+-0.1125*(cos(x16))+-0.1334*(cos(x17))+-0.1384*(cos(x18))+-0.1277*(cos(x19))+-0.1320*(cos(x20))+-0.1244*(cos(x21))+-0.1227*(cos(x22))+-0.1331*(cos(x23))+-0.1213*(cos(x24))+-0.1264*(cos(x25))+-0.1197))-((0.1286*(1)+0.1168*(1)+0.1618*(1)+0.0323*(1)+-0.0176*(1)+0.1081*(1)+0.0763*(1)+-0.0861*(1)+0.1681*(1)+0.0517*(1)+-0.0659*(1)+0.0097*(1)+0.0225*(1)+0.2433*(1)+0.1702*(1)+-0.0034*(1)+0.0577*(1)+0.0550*(1)+0.0081*(1)+0.0856*(1)+-0.0445*(1)+-0.0617*(1)+0.0595*(1)+0.0084*(1)+-0.1095*(1)+-0.0456*(1)+0.0103))))+1.0744)	
7	0.09893190	0.52671611	0.55803728	0.01171721	(-1.0296*sin((((-0.0317*(cos(x0))+-0.1132*(cos(x1))+-0.1016*(cos(x2))+-0.1215*(cos(x3))+-0.1449*(cos(x4))+-0.1130*(cos(x5))+-0.1240*(cos(x6))+-0.1199*(cos(x7))+-0.1320*(cos(x8))+-0.1317*(cos(x9))+-0.1336*(cos(x10))+-0.1433*(cos(x11))+-0.1323*(cos(x12))+-0.1468*(cos(x13))+-0.1420*(cos(x14))+-0.1282*(cos(x15))+-0.1125*(cos(x16))+-0.1334*(cos(x17))+-0.1384*(cos(x18))+-0.1277*(cos(x19))+-0.1320*(cos(x20))+-0.1244*(cos(x21))+-0.1227*(cos(x22))+-0.1331*(cos(x23))+-0.1213*(cos(x24))+-0.1264*(cos(x25))+-0.1197))-((0.1286*(1)+0.1168*(1)+0.1618*(1)+0.0323*(1)+-0.0176*(1)+0.1081*(1)+0.0763*(1)+-0.0861*(1)+0.1681*(1)+0.0517*(1)+-0.0659*(1)+0.0097*(1)+0.0225*(1)+0.2433*(1)+0.1702*(1)+-0.0034*(1)+0.0577*(1)+0.0550*(1)+0.0081*(1)+0.0856*(1)+-0.0445*(1)+-0.0617*(1)+0.0595*(1)+0.0084*(1)+-0.1095*(1)+-0.0456*(1)+0.0103))))+1.0744)	
8	0.07320693	0.53293389	0.65107173	0.01171721	(-1.0296*sin((((-0.0317*(cos(x0))+-0.1132*(cos(x1))+-0.1016*(cos(x2))+-0.1215*(cos(x3))+-0.1449*(cos(x4))+-0.1130*(cos(x5))+-0.1240*(cos(x6))+-0.1199*(cos(x7))+-0.1320*(cos(x8))+-0.1317*(cos(x9))+-0.1336*(cos(x10))+-0.1433*(cos(x11))+-0.1323*(cos(x12))+-0.1468*(cos(x13))+-0.1420*(cos(x14))+-0.1282*(cos(x15))+-0.1125*(cos(x16))+-0.1334*(cos(x17))+-0.1384*(cos(x18))+-0.1277*(cos(x19))+-0.1320*(cos(x20))+-0.1244*(cos(x21))+-0.1227*(cos(x22))+-0.1331*(cos(x23))+-0.1213*(cos(x24))+-0.1264*(cos(x25))+-0.1197))-((0.1286*(1)+0.1168*(1)+0.1618*(1)+0.0323*(1)+-0.0176*(1)+0.1081*(1)+0.0763*(1)+-0.0861*(1)+0.1681*(1)+0.0517*(1)+-0.0659*(1)+0.0097*(1)+0.0225*(1)+0.2433*(1)+0.1702*(1)+-0.0034*(1)+0.0577*(1)+0.0550*(1)+0.0081*(1)+0.0856*(1)+-0.0445*(1)+-0.0617*(1)+0.0595*(1)+0.0084*(1)+-0.1095*(1)+-0.0456*(1)+0.0103))))+1.0744)	
9	0.43708229	0.53910619	0.65637916	0.01171721	(-1.0296*sin((((-0.0317*(cos(x0))+-0.1132*(cos(x1))+-0.1016*(cos(x2))+-0.1215*(cos(x3))+-0.1449*(cos(x4))+-0.1130*(cos(x5))+-0.1240*(cos(x6))+-0.1199*(cos(x7))+-0.1320*(cos(x8))+-0.1317*(cos(x9))+-0.1336*(cos(x10))+-0.1433*(cos(x11))+-0.1323*(cos(x12))+-0.1468*(cos(x13))+-0.1420*(cos(x14))+-0.1282*(cos(x15))+-0.1125*(cos(x16))+-0.1334*(cos(x17))+-0.1384*(cos(x18))+-0.1277*(cos(x19))+-0.1320*(cos(x20))+-0.1244*(cos(x21))+-0.1227*(cos(x22))+-0.1331*(cos(x23))+-0.1213*(cos(x24))+-0.1264*(cos(x25))+-0.1197))-((0.1286*(1)+0.1168*(1)+0.1618*(1)+0.0323*(1)+-0.0176*(1)+0.1081*(1)+0.0763*(1)+-0.0861*(1)+0.1681*(1)+0.0517*(1)+-0.0659*(1)+0.0097*(1)+0.0225*(1)+0.2433*(1)+0.1702*(1)+-0.0034*(1)+0.0577*(1)+0.0550*(1)+0.0081*(1)+0.0856*(1)+-0.0445*(1)+-0.0617*(1)+0.0595*(1)+0.0084*(1)+-0.1095*(1)+-0.0456*(1)+0.0103))))+1.0744)	
10	0.25758889	0.54622030	0.68138820	0.01171721	(-1.0296*sin((((-0.0317*(cos(x0))+-0.1132*(cos(x1))+-0.1016*(cos(x2))+-0.1215*(cos(x3))+-0.1449*(cos(x4))+-0.1130*(cos(x5))+-0.1240*(cos(x6))+-0.1199*(cos(x7))+-0.1320*(cos(x8))+-0.1317*(cos(x9))+-0.1336*(cos(x10))+-0.1433*(cos(x11))+-0.1323*(cos(x12))+-0.1468*(cos(x13))+-0.1420*(cos(x14))+-0.1282*(cos(x15))+-0.1125*(cos(x16))+-0.1334*(cos(x17))+-0.1384*(cos(x18))+-0.1277*(cos(x19))+-0.1320*(cos(x20))+-0.1244*(cos(x21))+-0.1227*(cos(x22))+-0.1331*(cos(x23))+-0.1213*(cos(x24))+-0.1264*(cos(x25))+-0.1197))-((0.1286*(1)+0.1168*(1)+0.1618*(1)+0.0323*(1)+-0.0176*(1)+0.1081*(1)+0.0763*(1)+-0.0861*(1)+0.1681*(1)+0.0517*(1)+-0.0659*(1)+0.0097*(1)+0.0225*(1)+0.2433*(1)+0.1702*(1)+-0.0034*(1)+0.0577*(1)+0.0550*(1)+0.0081*(1)+0.0856*(1)+-0.0445*(1)+-0.0617*(1)+0.0595*(1)+0.0084*(1)+-0.1095*(1)+-0.0456*(1)+0.0103))))+1.0744)	
