iteration	loss	baseline	error	formula	error	
1	0.85682887	0.47351828	0.47351828	0.18996510	(0.4342*cos((((1.6449*((x0)**3)+0.1631*((x1)**3)+0.1002*((x2)**3)+0.0262*((x3)**3)+0.0225*((x4)**3)+-0.0153*((x5)**3)+0.0416*((x6)**3)+0.3186*((x7)**3)+0.0548*((x8)**3)+0.0067*((x9)**3)+0.0471*((x10)**3)+0.0763*((x11)**3)+0.0030*((x12)**3)+0.0188*((x13)**3)+0.2774*((x14)**3)+-0.0458*((x15)**3)+-0.1840*((x16)**3)+-0.0682*((x17)**3)+-0.2528*((x18)**3)+-0.0449*((x19)**3)+-0.0227*((x20)**3)+-0.0339*((x21)**3)+0.0047*((x22)**3)+-0.0940*((x23)**3)+-0.0727*((x24)**3)+-0.0332*((x25)**3)+-2.6210))-((-0.1165*(0)+0.0739*(0)+-0.0196*(0)+0.0114*(0)+0.0248*(0)+-0.0832*(0)+-0.0360*(0)+-0.0602*(0)+-0.2092*(0)+0.0261*(0)+-0.1016*(0)+0.0304*(0)+-0.1401*(0)+0.0369*(0)+0.0502*(0)+-0.0376*(0)+0.0962*(0)+0.0025*(0)+-0.1012*(0)+0.0771*(0)+-0.0631*(0)+0.1144*(0)+0.0293*(0)+0.0757*(0)+-0.0130*(0)+-0.0293*(0)+2.5753))))+0.6999)	
2	0.38736689	0.48372924	0.67773741	0.01017821	(-0.0933*(((0.0985*(1)+-0.1557*(1)+0.0528*(1)+-0.1275*(1)+0.0686*(1)+-0.1407*(1)+-0.1355*(1)+-0.1788*(1)+-0.1807*(1)+-0.2598*(1)+0.0007*(1)+0.0519*(1)+0.0469*(1)+-0.1502*(1)+0.0740*(1)+-0.1827*(1)+-0.1798*(1)+-0.1040*(1)+-0.0402*(1)+-0.0409*(1)+-0.2172*(1)+-0.1777*(1)+-0.1060*(1)+-0.0714*(1)+-0.2138*(1)+-0.1244*(1)+-0.2157))*((0.1085*((x0)**2)+0.1471*((x1)**2)+0.1688*((x2)**2)+0.1658*((x3)**2)+0.1625*((x4)**2)+0.1508*((x5)**2)+0.1543*((x6)**2)+0.1629*((x7)**2)+0.1429*((x8)**2)+0.1646*((x9)**2)+0.1588*((x10)**2)+0.1508*((x11)**2)+0.1612*((x12)**2)+0.1461*((x13)**2)+0.1518*((x14)**2)+0.1576*((x15)**2)+0.1697*((x16)**2)+0.1677*((x17)**2)+0.1550*((x18)**2)+0.1518*((x19)**2)+0.1567*((x20)**2)+0.1469*((x21)**2)+0.1644*((x22)**2)+0.1588*((x23)**2)+0.1464*((x24)**2)+0.1791*((x25)**2)+0.1019)))+-0.0023)	
3	0.51608032	0.49474400	0.70402443	0.01017821	(-0.0933*(((0.0985*(1)+-0.1557*(1)+0.0528*(1)+-0.1275*(1)+0.0686*(1)+-0.1407*(1)+-0.1355*(1)+-0.1788*(1)+-0.1807*(1)+-0.2598*(1)+0.0007*(1)+0.0519*(1)+0.0469*(1)+-0.1502*(1)+0.0740*(1)+-0.1827*(1)+-0.1798*(1)+-0.1040*(1)+-0.0402*(1)+-0.0409*(1)+-0.2172*(1)+-0.1777*(1)+-0.1060*(1)+-0.0714*(1)+-0.2138*(1)+-0.1244*(1)+-0.2157))*((0.1085*((x0)**2)+0.1471*((x1)**2)+0.1688*((x2)**2)+0.1658*((x3)**2)+0.1625*((x4)**2)+0.1508*((x5)**2)+0.1543*((x6)**2)+0.1629*((x7)**2)+0.1429*((x8)**2)+0.1646*((x9)**2)+0.1588*((x10)**2)+0.1508*((x11)**2)+0.1612*((x12)**2)+0.1461*((x13)**2)+0.1518*((x14)**2)+0.1576*((x15)**2)+0.1697*((x16)**2)+0.1677*((x17)**2)+0.1550*((x18)**2)+0.1518*((x19)**2)+0.1567*((x20)**2)+0.1469*((x21)**2)+0.1644*((x22)**2)+0.1588*((x23)**2)+0.1464*((x24)**2)+0.1791*((x25)**2)+0.1019)))+-0.0023)	
4	0.51438200	0.50691950	0.73825395	0.01017821	(-0.0933*(((0.0985*(1)+-0.1557*(1)+0.0528*(1)+-0.1275*(1)+0.0686*(1)+-0.1407*(1)+-0.1355*(1)+-0.1788*(1)+-0.1807*(1)+-0.2598*(1)+0.0007*(1)+0.0519*(1)+0.0469*(1)+-0.1502*(1)+0.0740*(1)+-0.1827*(1)+-0.1798*(1)+-0.1040*(1)+-0.0402*(1)+-0.0409*(1)+-0.2172*(1)+-0.1777*(1)+-0.1060*(1)+-0.0714*(1)+-0.2138*(1)+-0.1244*(1)+-0.2157))*((0.1085*((x0)**2)+0.1471*((x1)**2)+0.1688*((x2)**2)+0.1658*((x3)**2)+0.1625*((x4)**2)+0.1508*((x5)**2)+0.1543*((x6)**2)+0.1629*((x7)**2)+0.1429*((x8)**2)+0.1646*((x9)**2)+0.1588*((x10)**2)+0.1508*((x11)**2)+0.1612*((x12)**2)+0.1461*((x13)**2)+0.1518*((x14)**2)+0.1576*((x15)**2)+0.1697*((x16)**2)+0.1677*((x17)**2)+0.1550*((x18)**2)+0.1518*((x19)**2)+0.1567*((x20)**2)+0.1469*((x21)**2)+0.1644*((x22)**2)+0.1588*((x23)**2)+0.1464*((x24)**2)+0.1791*((x25)**2)+0.1019)))+-0.0023)	
5	0.34286278	0.51389438	0.64641660	0.01017821	(-0.0933*(((0.0985*(1)+-0.1557*(1)+0.0528*(1)+-0.1275*(1)+0.0686*(1)+-0.1407*(1)+-0.1355*(1)+-0.1788*(1)+-0.1807*(1)+-0.2598*(1)+0.0007*(1)+0.0519*(1)+0.0469*(1)+-0.1502*(1)+0.0740*(1)+-0.1827*(1)+-0.1798*(1)+-0.1040*(1)+-0.0402*(1)+-0.0409*(1)+-0.2172*(1)+-0.1777*(1)+-0.1060*(1)+-0.0714*(1)+-0.2138*(1)+-0.1244*(1)+-0.2157))*((0.1085*((x0)**2)+0.1471*((x1)**2)+0.1688*((x2)**2)+0.1658*((x3)**2)+0.1625*((x4)**2)+0.1508*((x5)**2)+0.1543*((x6)**2)+0.1629*((x7)**2)+0.1429*((x8)**2)+0.1646*((x9)**2)+0.1588*((x10)**2)+0.1508*((x11)**2)+0.1612*((x12)**2)+0.1461*((x13)**2)+0.1518*((x14)**2)+0.1576*((x15)**2)+0.1697*((x16)**2)+0.1677*((x17)**2)+0.1550*((x18)**2)+0.1518*((x19)**2)+0.1567*((x20)**2)+0.1469*((x21)**2)+0.1644*((x22)**2)+0.1588*((x23)**2)+0.1464*((x24)**2)+0.1791*((x25)**2)+0.1019)))+-0.0023)	
6	0.93473130	0.51442474	0.52450222	0.01017821	(-0.0933*(((0.0985*(1)+-0.1557*(1)+0.0528*(1)+-0.1275*(1)+0.0686*(1)+-0.1407*(1)+-0.1355*(1)+-0.1788*(1)+-0.1807*(1)+-0.2598*(1)+0.0007*(1)+0.0519*(1)+0.0469*(1)+-0.1502*(1)+0.0740*(1)+-0.1827*(1)+-0.1798*(1)+-0.1040*(1)+-0.0402*(1)+-0.0409*(1)+-0.2172*(1)+-0.1777*(1)+-0.1060*(1)+-0.0714*(1)+-0.2138*(1)+-0.1244*(1)+-0.2157))*((0.1085*((x0)**2)+0.1471*((x1)**2)+0.1688*((x2)**2)+0.1658*((x3)**2)+0.1625*((x4)**2)+0.1508*((x5)**2)+0.1543*((x6)**2)+0.1629*((x7)**2)+0.1429*((x8)**2)+0.1646*((x9)**2)+0.1588*((x10)**2)+0.1508*((x11)**2)+0.1612*((x12)**2)+0.1461*((x13)**2)+0.1518*((x14)**2)+0.1576*((x15)**2)+0.1697*((x16)**2)+0.1677*((x17)**2)+0.1550*((x18)**2)+0.1518*((x19)**2)+0.1567*((x20)**2)+0.1469*((x21)**2)+0.1644*((x22)**2)+0.1588*((x23)**2)+0.1464*((x24)**2)+0.1791*((x25)**2)+0.1019)))+-0.0023)	
7	0.63364220	0.52466363	0.71920258	0.01017821	(-0.0933*(((0.0985*(1)+-0.1557*(1)+0.0528*(1)+-0.1275*(1)+0.0686*(1)+-0.1407*(1)+-0.1355*(1)+-0.1788*(1)+-0.1807*(1)+-0.2598*(1)+0.0007*(1)+0.0519*(1)+0.0469*(1)+-0.1502*(1)+0.0740*(1)+-0.1827*(1)+-0.1798*(1)+-0.1040*(1)+-0.0402*(1)+-0.0409*(1)+-0.2172*(1)+-0.1777*(1)+-0.1060*(1)+-0.0714*(1)+-0.2138*(1)+-0.1244*(1)+-0.2157))*((0.1085*((x0)**2)+0.1471*((x1)**2)+0.1688*((x2)**2)+0.1658*((x3)**2)+0.1625*((x4)**2)+0.1508*((x5)**2)+0.1543*((x6)**2)+0.1629*((x7)**2)+0.1429*((x8)**2)+0.1646*((x9)**2)+0.1588*((x10)**2)+0.1508*((x11)**2)+0.1612*((x12)**2)+0.1461*((x13)**2)+0.1518*((x14)**2)+0.1576*((x15)**2)+0.1697*((x16)**2)+0.1677*((x17)**2)+0.1550*((x18)**2)+0.1518*((x19)**2)+0.1567*((x20)**2)+0.1469*((x21)**2)+0.1644*((x22)**2)+0.1588*((x23)**2)+0.1464*((x24)**2)+0.1791*((x25)**2)+0.1019)))+-0.0023)	
8	1.01707995	0.53576165	0.74662495	0.00092589	(0.8116*cos((((0.0034*((x0)**2)+0.0524*((x1)**2)+0.0538*((x2)**2)+0.0514*((x3)**2)+0.0547*((x4)**2)+0.0512*((x5)**2)+0.0535*((x6)**2)+0.0518*((x7)**2)+0.0517*((x8)**2)+0.0502*((x9)**2)+0.0520*((x10)**2)+0.0535*((x11)**2)+0.0504*((x12)**2)+0.0518*((x13)**2)+0.0537*((x14)**2)+0.0497*((x15)**2)+0.0550*((x16)**2)+0.0534*((x17)**2)+0.0525*((x18)**2)+0.0526*((x19)**2)+0.0526*((x20)**2)+0.0502*((x21)**2)+0.0521*((x22)**2)+0.0509*((x23)**2)+0.0497*((x24)**2)+0.0543*((x25)**2)+-0.2091))-((0.2062*(1)+0.3592*(1)+0.1965*(1)+0.1406*(1)+0.2449*(1)+0.0455*(1)+0.3103*(1)+0.1277*(1)+0.0685*(1)+-0.0787*(1)+0.1332*(1)+0.0702*(1)+0.2510*(1)+0.0365*(1)+0.0344*(1)+0.1426*(1)+0.0610*(1)+0.0950*(1)+0.0418*(1)+0.2036*(1)+0.0770*(1)+-0.0311*(1)+-0.0362*(1)+0.0295*(1)+0.0852*(1)+-0.0631*(1)+0.1271))))+1.1489)	
9	1.01602173	0.54246068	0.66974229	0.00092589	(0.8116*cos((((0.0034*((x0)**2)+0.0524*((x1)**2)+0.0538*((x2)**2)+0.0514*((x3)**2)+0.0547*((x4)**2)+0.0512*((x5)**2)+0.0535*((x6)**2)+0.0518*((x7)**2)+0.0517*((x8)**2)+0.0502*((x9)**2)+0.0520*((x10)**2)+0.0535*((x11)**2)+0.0504*((x12)**2)+0.0518*((x13)**2)+0.0537*((x14)**2)+0.0497*((x15)**2)+0.0550*((x16)**2)+0.0534*((x17)**2)+0.0525*((x18)**2)+0.0526*((x19)**2)+0.0526*((x20)**2)+0.0502*((x21)**2)+0.0521*((x22)**2)+0.0509*((x23)**2)+0.0497*((x24)**2)+0.0543*((x25)**2)+-0.2091))-((0.2062*(1)+0.3592*(1)+0.1965*(1)+0.1406*(1)+0.2449*(1)+0.0455*(1)+0.3103*(1)+0.1277*(1)+0.0685*(1)+-0.0787*(1)+0.1332*(1)+0.0702*(1)+0.2510*(1)+0.0365*(1)+0.0344*(1)+0.1426*(1)+0.0610*(1)+0.0950*(1)+0.0418*(1)+0.2036*(1)+0.0770*(1)+-0.0311*(1)+-0.0362*(1)+0.0295*(1)+0.0852*(1)+-0.0631*(1)+0.1271))))+1.1489)	
10	0.81690836	0.55376679	0.76858276	0.00092589	(0.8116*cos((((0.0034*((x0)**2)+0.0524*((x1)**2)+0.0538*((x2)**2)+0.0514*((x3)**2)+0.0547*((x4)**2)+0.0512*((x5)**2)+0.0535*((x6)**2)+0.0518*((x7)**2)+0.0517*((x8)**2)+0.0502*((x9)**2)+0.0520*((x10)**2)+0.0535*((x11)**2)+0.0504*((x12)**2)+0.0518*((x13)**2)+0.0537*((x14)**2)+0.0497*((x15)**2)+0.0550*((x16)**2)+0.0534*((x17)**2)+0.0525*((x18)**2)+0.0526*((x19)**2)+0.0526*((x20)**2)+0.0502*((x21)**2)+0.0521*((x22)**2)+0.0509*((x23)**2)+0.0497*((x24)**2)+0.0543*((x25)**2)+-0.2091))-((0.2062*(1)+0.3592*(1)+0.1965*(1)+0.1406*(1)+0.2449*(1)+0.0455*(1)+0.3103*(1)+0.1277*(1)+0.0685*(1)+-0.0787*(1)+0.1332*(1)+0.0702*(1)+0.2510*(1)+0.0365*(1)+0.0344*(1)+0.1426*(1)+0.0610*(1)+0.0950*(1)+0.0418*(1)+0.2036*(1)+0.0770*(1)+-0.0311*(1)+-0.0362*(1)+0.0295*(1)+0.0852*(1)+-0.0631*(1)+0.1271))))+1.1489)	
11	0.52143759	0.56143510	0.70713335	0.00092589	(0.8116*cos((((0.0034*((x0)**2)+0.0524*((x1)**2)+0.0538*((x2)**2)+0.0514*((x3)**2)+0.0547*((x4)**2)+0.0512*((x5)**2)+0.0535*((x6)**2)+0.0518*((x7)**2)+0.0517*((x8)**2)+0.0502*((x9)**2)+0.0520*((x10)**2)+0.0535*((x11)**2)+0.0504*((x12)**2)+0.0518*((x13)**2)+0.0537*((x14)**2)+0.0497*((x15)**2)+0.0550*((x16)**2)+0.0534*((x17)**2)+0.0525*((x18)**2)+0.0526*((x19)**2)+0.0526*((x20)**2)+0.0502*((x21)**2)+0.0521*((x22)**2)+0.0509*((x23)**2)+0.0497*((x24)**2)+0.0543*((x25)**2)+-0.2091))-((0.2062*(1)+0.3592*(1)+0.1965*(1)+0.1406*(1)+0.2449*(1)+0.0455*(1)+0.3103*(1)+0.1277*(1)+0.0685*(1)+-0.0787*(1)+0.1332*(1)+0.0702*(1)+0.2510*(1)+0.0365*(1)+0.0344*(1)+0.1426*(1)+0.0610*(1)+0.0950*(1)+0.0418*(1)+0.2036*(1)+0.0770*(1)+-0.0311*(1)+-0.0362*(1)+0.0295*(1)+0.0852*(1)+-0.0631*(1)+0.1271))))+1.1489)	
