iteration	loss	baseline	error	formula	error	
1	0.64353234	0.46972871	0.46972871	0.16685079	(1.5919*cos((((-0.7878*(sin(x0))+-0.0278*(sin(x1))+0.0348*(sin(x2))+0.0000*(sin(x3))+-0.0283*(sin(x4))+0.0100*(sin(x5))+0.0628*(sin(x6))+0.0052*(sin(x7))+-0.0046*(sin(x8))+0.0077*(sin(x9))+0.5712))-((-0.1767*(cos(x0))+-0.2887*(cos(x1))+-0.2634*(cos(x2))+-0.2943*(cos(x3))+-0.2707*(cos(x4))+-0.2493*(cos(x5))+-0.2508*(cos(x6))+-0.2323*(cos(x7))+-0.2725*(cos(x8))+-0.2946*(cos(x9))+-0.4681))))+1.4833)	
2	0.62639153	0.47071424	0.48943922	0.16685079	(1.5919*cos((((-0.7878*(sin(x0))+-0.0278*(sin(x1))+0.0348*(sin(x2))+0.0000*(sin(x3))+-0.0283*(sin(x4))+0.0100*(sin(x5))+0.0628*(sin(x6))+0.0052*(sin(x7))+-0.0046*(sin(x8))+0.0077*(sin(x9))+0.5712))-((-0.1767*(cos(x0))+-0.2887*(cos(x1))+-0.2634*(cos(x2))+-0.2943*(cos(x3))+-0.2707*(cos(x4))+-0.2493*(cos(x5))+-0.2508*(cos(x6))+-0.2323*(cos(x7))+-0.2725*(cos(x8))+-0.2946*(cos(x9))+-0.4681))))+1.4833)	
3	0.17337017	0.47494185	0.55526692	0.16685079	(1.5919*cos((((-0.7878*(sin(x0))+-0.0278*(sin(x1))+0.0348*(sin(x2))+0.0000*(sin(x3))+-0.0283*(sin(x4))+0.0100*(sin(x5))+0.0628*(sin(x6))+0.0052*(sin(x7))+-0.0046*(sin(x8))+0.0077*(sin(x9))+0.5712))-((-0.1767*(cos(x0))+-0.2887*(cos(x1))+-0.2634*(cos(x2))+-0.2943*(cos(x3))+-0.2707*(cos(x4))+-0.2493*(cos(x5))+-0.2508*(cos(x6))+-0.2323*(cos(x7))+-0.2725*(cos(x8))+-0.2946*(cos(x9))+-0.4681))))+1.4833)	
4	0.97832125	0.47699821	0.51606870	0.16685079	(1.5919*cos((((-0.7878*(sin(x0))+-0.0278*(sin(x1))+0.0348*(sin(x2))+0.0000*(sin(x3))+-0.0283*(sin(x4))+0.0100*(sin(x5))+0.0628*(sin(x6))+0.0052*(sin(x7))+-0.0046*(sin(x8))+0.0077*(sin(x9))+0.5712))-((-0.1767*(cos(x0))+-0.2887*(cos(x1))+-0.2634*(cos(x2))+-0.2943*(cos(x3))+-0.2707*(cos(x4))+-0.2493*(cos(x5))+-0.2508*(cos(x6))+-0.2323*(cos(x7))+-0.2725*(cos(x8))+-0.2946*(cos(x9))+-0.4681))))+1.4833)	
5	0.46141410	0.47662446	0.46952334	0.16685079	(1.5919*cos((((-0.7878*(sin(x0))+-0.0278*(sin(x1))+0.0348*(sin(x2))+0.0000*(sin(x3))+-0.0283*(sin(x4))+0.0100*(sin(x5))+0.0628*(sin(x6))+0.0052*(sin(x7))+-0.0046*(sin(x8))+0.0077*(sin(x9))+0.5712))-((-0.1767*(cos(x0))+-0.2887*(cos(x1))+-0.2634*(cos(x2))+-0.2943*(cos(x3))+-0.2707*(cos(x4))+-0.2493*(cos(x5))+-0.2508*(cos(x6))+-0.2323*(cos(x7))+-0.2725*(cos(x8))+-0.2946*(cos(x9))+-0.4681))))+1.4833)	
6	0.39687359	0.47606277	0.46539077	0.16685079	(1.5919*cos((((-0.7878*(sin(x0))+-0.0278*(sin(x1))+0.0348*(sin(x2))+0.0000*(sin(x3))+-0.0283*(sin(x4))+0.0100*(sin(x5))+0.0628*(sin(x6))+0.0052*(sin(x7))+-0.0046*(sin(x8))+0.0077*(sin(x9))+0.5712))-((-0.1767*(cos(x0))+-0.2887*(cos(x1))+-0.2634*(cos(x2))+-0.2943*(cos(x3))+-0.2707*(cos(x4))+-0.2493*(cos(x5))+-0.2508*(cos(x6))+-0.2323*(cos(x7))+-0.2725*(cos(x8))+-0.2946*(cos(x9))+-0.4681))))+1.4833)	
7	0.35083517	0.47302979	0.41540313	0.16685079	(1.5919*cos((((-0.7878*(sin(x0))+-0.0278*(sin(x1))+0.0348*(sin(x2))+0.0000*(sin(x3))+-0.0283*(sin(x4))+0.0100*(sin(x5))+0.0628*(sin(x6))+0.0052*(sin(x7))+-0.0046*(sin(x8))+0.0077*(sin(x9))+0.5712))-((-0.1767*(cos(x0))+-0.2887*(cos(x1))+-0.2634*(cos(x2))+-0.2943*(cos(x3))+-0.2707*(cos(x4))+-0.2493*(cos(x5))+-0.2508*(cos(x6))+-0.2323*(cos(x7))+-0.2725*(cos(x8))+-0.2946*(cos(x9))+-0.4681))))+1.4833)	
8	0.70742190	0.47167745	0.44598255	0.16685079	(1.5919*cos((((-0.7878*(sin(x0))+-0.0278*(sin(x1))+0.0348*(sin(x2))+0.0000*(sin(x3))+-0.0283*(sin(x4))+0.0100*(sin(x5))+0.0628*(sin(x6))+0.0052*(sin(x7))+-0.0046*(sin(x8))+0.0077*(sin(x9))+0.5712))-((-0.1767*(cos(x0))+-0.2887*(cos(x1))+-0.2634*(cos(x2))+-0.2943*(cos(x3))+-0.2707*(cos(x4))+-0.2493*(cos(x5))+-0.2508*(cos(x6))+-0.2323*(cos(x7))+-0.2725*(cos(x8))+-0.2946*(cos(x9))+-0.4681))))+1.4833)	
9	0.51997447	0.46837211	0.40557060	0.16685079	(1.5919*cos((((-0.7878*(sin(x0))+-0.0278*(sin(x1))+0.0348*(sin(x2))+0.0000*(sin(x3))+-0.0283*(sin(x4))+0.0100*(sin(x5))+0.0628*(sin(x6))+0.0052*(sin(x7))+-0.0046*(sin(x8))+0.0077*(sin(x9))+0.5712))-((-0.1767*(cos(x0))+-0.2887*(cos(x1))+-0.2634*(cos(x2))+-0.2943*(cos(x3))+-0.2707*(cos(x4))+-0.2493*(cos(x5))+-0.2508*(cos(x6))+-0.2323*(cos(x7))+-0.2725*(cos(x8))+-0.2946*(cos(x9))+-0.4681))))+1.4833)	
10	0.69781864	0.46904331	0.48179647	0.16685079	(1.5919*cos((((-0.7878*(sin(x0))+-0.0278*(sin(x1))+0.0348*(sin(x2))+0.0000*(sin(x3))+-0.0283*(sin(x4))+0.0100*(sin(x5))+0.0628*(sin(x6))+0.0052*(sin(x7))+-0.0046*(sin(x8))+0.0077*(sin(x9))+0.5712))-((-0.1767*(cos(x0))+-0.2887*(cos(x1))+-0.2634*(cos(x2))+-0.2943*(cos(x3))+-0.2707*(cos(x4))+-0.2493*(cos(x5))+-0.2508*(cos(x6))+-0.2323*(cos(x7))+-0.2725*(cos(x8))+-0.2946*(cos(x9))+-0.4681))))+1.4833)	
11	0.44367334	0.46700877	0.42835227	0.16685079	(1.5919*cos((((-0.7878*(sin(x0))+-0.0278*(sin(x1))+0.0348*(sin(x2))+0.0000*(sin(x3))+-0.0283*(sin(x4))+0.0100*(sin(x5))+0.0628*(sin(x6))+0.0052*(sin(x7))+-0.0046*(sin(x8))+0.0077*(sin(x9))+0.5712))-((-0.1767*(cos(x0))+-0.2887*(cos(x1))+-0.2634*(cos(x2))+-0.2943*(cos(x3))+-0.2707*(cos(x4))+-0.2493*(cos(x5))+-0.2508*(cos(x6))+-0.2323*(cos(x7))+-0.2725*(cos(x8))+-0.2946*(cos(x9))+-0.4681))))+1.4833)	
12	0.98669273	0.46877316	0.50229675	0.15429178	(0.6496*(((0.3771*((x0)**2)+0.2271*((x1)**2)+0.2264*((x2)**2)+0.2362*((x3)**2)+0.2191*((x4)**2)+0.2188*((x5)**2)+0.2469*((x6)**2)+0.2349*((x7)**2)+0.2390*((x8)**2)+0.2078*((x9)**2)+-0.2222))+((0.9824*(sin(x0))+-0.0082*(sin(x1))+0.0145*(sin(x2))+0.0003*(sin(x3))+-0.0063*(sin(x4))+0.0129*(sin(x5))+-0.0212*(sin(x6))+0.0010*(sin(x7))+0.0001*(sin(x8))+-0.0035*(sin(x9))+-0.3061)))+-0.7570)	
