iteration	loss	baseline	error	formula	error	
1	0.30850360	0.66721433	0.66721433	0.05844966	(-0.6098*(((0.1747*(cos(x0))+0.1428*(cos(x1))+0.0614*(cos(x2))+0.4296*(cos(x3))+0.0471*(cos(x4))+0.1914*(cos(x5))+0.2912*(cos(x6))+0.0525*(cos(x7))+0.1994*(cos(x8))+0.3429*(cos(x9))+0.2982))+((0.2161*(cos(x0))+0.1849*(cos(x1))+0.2764*(cos(x2))+0.2044*(cos(x3))+0.2283*(cos(x4))+0.2359*(cos(x5))+0.3214*(cos(x6))+0.2132*(cos(x7))+0.1291*(cos(x8))+0.2460*(cos(x9))+0.3746)))+2.9258)	
2	0.36329600	0.66544485	0.63182449	0.03391518	(-0.9227*sin((((-0.2116*(cos(x0))+-0.3883*(cos(x1))+-0.4167*(cos(x2))+-0.4021*(cos(x3))+-0.4226*(cos(x4))+-0.4412*(cos(x5))+-0.4163*(cos(x6))+-0.4576*(cos(x7))+-0.4141*(cos(x8))+-0.3938*(cos(x9))+-0.4100))+((-0.0280*(sin(x0))+-0.0154*(sin(x1))+0.0051*(sin(x2))+0.0191*(sin(x3))+0.0015*(sin(x4))+-0.0066*(sin(x5))+-0.0253*(sin(x6))+-0.0203*(sin(x7))+0.0427*(sin(x8))+-0.0122*(sin(x9))+-0.6276))))+1.2509)	
3	0.78574693	0.66762811	0.70911044	0.00023928	(-0.3085*(((-0.0182*((x0)**2)+-0.2394*((x1)**2)+-0.1771*((x2)**2)+-0.1117*((x3)**2)+-0.1650*((x4)**2)+-0.2692*((x5)**2)+-0.2591*((x6)**2)+-0.1096*((x7)**2)+-0.2332*((x8)**2)+-0.3279*((x9)**2)+0.2007))+((-0.0391*((x0)**2)+-0.1097*((x1)**2)+-0.1712*((x2)**2)+-0.2846*((x3)**2)+-0.2082*((x4)**2)+-0.1109*((x5)**2)+-0.0445*((x6)**2)+-0.2146*((x7)**2)+-0.1248*((x8)**2)+-0.0727*((x9)**2)+0.0282)))+0.0653)	
4	0.16125368	0.66775531	0.67017239	0.00023928	(-0.3085*(((-0.0182*((x0)**2)+-0.2394*((x1)**2)+-0.1771*((x2)**2)+-0.1117*((x3)**2)+-0.1650*((x4)**2)+-0.2692*((x5)**2)+-0.2591*((x6)**2)+-0.1096*((x7)**2)+-0.2332*((x8)**2)+-0.3279*((x9)**2)+0.2007))+((-0.0391*((x0)**2)+-0.1097*((x1)**2)+-0.1712*((x2)**2)+-0.2846*((x3)**2)+-0.2082*((x4)**2)+-0.1109*((x5)**2)+-0.0445*((x6)**2)+-0.2146*((x7)**2)+-0.1248*((x8)**2)+-0.0727*((x9)**2)+0.0282)))+0.0653)	
5	0.87610674	0.67056215	0.72389215	0.00023928	(-0.3085*(((-0.0182*((x0)**2)+-0.2394*((x1)**2)+-0.1771*((x2)**2)+-0.1117*((x3)**2)+-0.1650*((x4)**2)+-0.2692*((x5)**2)+-0.2591*((x6)**2)+-0.1096*((x7)**2)+-0.2332*((x8)**2)+-0.3279*((x9)**2)+0.2007))+((-0.0391*((x0)**2)+-0.1097*((x1)**2)+-0.1712*((x2)**2)+-0.2846*((x3)**2)+-0.2082*((x4)**2)+-0.1109*((x5)**2)+-0.0445*((x6)**2)+-0.2146*((x7)**2)+-0.1248*((x8)**2)+-0.0727*((x9)**2)+0.0282)))+0.0653)	
6	0.15034425	0.66662329	0.59178489	0.00023928	(-0.3085*(((-0.0182*((x0)**2)+-0.2394*((x1)**2)+-0.1771*((x2)**2)+-0.1117*((x3)**2)+-0.1650*((x4)**2)+-0.2692*((x5)**2)+-0.2591*((x6)**2)+-0.1096*((x7)**2)+-0.2332*((x8)**2)+-0.3279*((x9)**2)+0.2007))+((-0.0391*((x0)**2)+-0.1097*((x1)**2)+-0.1712*((x2)**2)+-0.2846*((x3)**2)+-0.2082*((x4)**2)+-0.1109*((x5)**2)+-0.0445*((x6)**2)+-0.2146*((x7)**2)+-0.1248*((x8)**2)+-0.0727*((x9)**2)+0.0282)))+0.0653)	
7	0.38667336	0.66774774	0.68911213	0.00023928	(-0.3085*(((-0.0182*((x0)**2)+-0.2394*((x1)**2)+-0.1771*((x2)**2)+-0.1117*((x3)**2)+-0.1650*((x4)**2)+-0.2692*((x5)**2)+-0.2591*((x6)**2)+-0.1096*((x7)**2)+-0.2332*((x8)**2)+-0.3279*((x9)**2)+0.2007))+((-0.0391*((x0)**2)+-0.1097*((x1)**2)+-0.1712*((x2)**2)+-0.2846*((x3)**2)+-0.2082*((x4)**2)+-0.1109*((x5)**2)+-0.0445*((x6)**2)+-0.2146*((x7)**2)+-0.1248*((x8)**2)+-0.0727*((x9)**2)+0.0282)))+0.0653)	
8	0.18497904	0.66761786	0.66515082	0.00023928	(-0.3085*(((-0.0182*((x0)**2)+-0.2394*((x1)**2)+-0.1771*((x2)**2)+-0.1117*((x3)**2)+-0.1650*((x4)**2)+-0.2692*((x5)**2)+-0.2591*((x6)**2)+-0.1096*((x7)**2)+-0.2332*((x8)**2)+-0.3279*((x9)**2)+0.2007))+((-0.0391*((x0)**2)+-0.1097*((x1)**2)+-0.1712*((x2)**2)+-0.2846*((x3)**2)+-0.2082*((x4)**2)+-0.1109*((x5)**2)+-0.0445*((x6)**2)+-0.2146*((x7)**2)+-0.1248*((x8)**2)+-0.0727*((x9)**2)+0.0282)))+0.0653)	
9	0.06438826	0.66429496	0.60116047	0.00023928	(-0.3085*(((-0.0182*((x0)**2)+-0.2394*((x1)**2)+-0.1771*((x2)**2)+-0.1117*((x3)**2)+-0.1650*((x4)**2)+-0.2692*((x5)**2)+-0.2591*((x6)**2)+-0.1096*((x7)**2)+-0.2332*((x8)**2)+-0.3279*((x9)**2)+0.2007))+((-0.0391*((x0)**2)+-0.1097*((x1)**2)+-0.1712*((x2)**2)+-0.2846*((x3)**2)+-0.2082*((x4)**2)+-0.1109*((x5)**2)+-0.0445*((x6)**2)+-0.2146*((x7)**2)+-0.1248*((x8)**2)+-0.0727*((x9)**2)+0.0282)))+0.0653)	
10	0.91894066	0.66707247	0.71984529	0.00023917	(-0.3936*(((0.0112*(0)+0.0434*(0)+0.0096*(0)+-0.0320*(0)+-0.0570*(0)+-0.0204*(0)+-0.0088*(0)+0.0166*(0)+-0.1467*(0)+0.0643*(0)+-0.0847))-((0.0571*((x0)**2)+0.2975*((x1)**2)+0.2864*((x2)**2)+0.2862*((x3)**2)+0.2795*((x4)**2)+0.2765*((x5)**2)+0.2856*((x6)**2)+0.2816*((x7)**2)+0.2793*((x8)**2)+0.2854*((x9)**2)+-0.0254)))+-0.0539)	
