iteration	loss	baseline	error	formula	error	
1	0.21557596	0.60497475	0.60497475	0.12881899	(nan*exp((((nan*(0)+nan*(0)+nan*(0)+nan*(0)+nan*(0)+nan*(0)+nan*(0)+nan*(0)+nan*(0)+nan*(0)+nan*(0)+nan))+((nan*(cos(x0))+nan*(cos(x1))+nan*(cos(x2))+nan*(cos(x3))+nan*(cos(x4))+nan*(cos(x5))+nan*(cos(x6))+nan*(cos(x7))+nan*(cos(x8))+nan*(cos(x9))+nan*(cos(x10))+nan))))+nan)	
2	0.26609692	0.60885334	0.68254733	0.06021583	(-0.0725*(((-0.1672*((x0)**3)+0.0578*((x1)**3)+0.0045*((x2)**3)+0.0085*((x3)**3)+0.0509*((x4)**3)+-0.0288*((x5)**3)+-0.0432*((x6)**3)+0.0385*((x7)**3)+0.0549*((x8)**3)+0.0274*((x9)**3)+0.0116*((x10)**3)+-0.0751))+((-0.2204*((x0)**4)+-0.1910*((x1)**4)+-0.1757*((x2)**4)+-0.1693*((x3)**4)+-0.2025*((x4)**4)+-0.1057*((x5)**4)+-0.1762*((x6)**4)+-0.1901*((x7)**4)+-0.1903*((x8)**4)+-0.1846*((x9)**4)+-0.1654*((x10)**4)+-0.1672)))+0.5792)	
3	0.08560680	0.60825694	0.59692466	0.06021583	(-0.0725*(((-0.1672*((x0)**3)+0.0578*((x1)**3)+0.0045*((x2)**3)+0.0085*((x3)**3)+0.0509*((x4)**3)+-0.0288*((x5)**3)+-0.0432*((x6)**3)+0.0385*((x7)**3)+0.0549*((x8)**3)+0.0274*((x9)**3)+0.0116*((x10)**3)+-0.0751))+((-0.2204*((x0)**4)+-0.1910*((x1)**4)+-0.1757*((x2)**4)+-0.1693*((x3)**4)+-0.2025*((x4)**4)+-0.1057*((x5)**4)+-0.1762*((x6)**4)+-0.1901*((x7)**4)+-0.1903*((x8)**4)+-0.1846*((x9)**4)+-0.1654*((x10)**4)+-0.1672)))+0.5792)	
4	0.23824190	0.60568845	0.55688727	0.06021583	(-0.0725*(((-0.1672*((x0)**3)+0.0578*((x1)**3)+0.0045*((x2)**3)+0.0085*((x3)**3)+0.0509*((x4)**3)+-0.0288*((x5)**3)+-0.0432*((x6)**3)+0.0385*((x7)**3)+0.0549*((x8)**3)+0.0274*((x9)**3)+0.0116*((x10)**3)+-0.0751))+((-0.2204*((x0)**4)+-0.1910*((x1)**4)+-0.1757*((x2)**4)+-0.1693*((x3)**4)+-0.2025*((x4)**4)+-0.1057*((x5)**4)+-0.1762*((x6)**4)+-0.1901*((x7)**4)+-0.1903*((x8)**4)+-0.1846*((x9)**4)+-0.1654*((x10)**4)+-0.1672)))+0.5792)	
5	0.84791625	0.60711849	0.63428926	0.00621080	(1.3323*sin((((-0.5306*(sin(x0))+-0.0187*(sin(x1))+-0.0009*(sin(x2))+-0.0095*(sin(x3))+-0.0276*(sin(x4))+-0.0104*(sin(x5))+-0.0252*(sin(x6))+0.0229*(sin(x7))+-0.0259*(sin(x8))+-0.0256*(sin(x9))+-0.0089*(sin(x10))+-0.6290))*((-0.0156*((x0)**2)+-0.0660*((x1)**2)+-0.0762*((x2)**2)+-0.0686*((x3)**2)+-0.0709*((x4)**2)+-0.0641*((x5)**2)+-0.0657*((x6)**2)+-0.0613*((x7)**2)+-0.0574*((x8)**2)+-0.0630*((x9)**2)+-0.0726*((x10)**2)+0.5956))))+0.8941)	
6	0.28047788	0.60990340	0.66281706	0.00621080	(1.3323*sin((((-0.5306*(sin(x0))+-0.0187*(sin(x1))+-0.0009*(sin(x2))+-0.0095*(sin(x3))+-0.0276*(sin(x4))+-0.0104*(sin(x5))+-0.0252*(sin(x6))+0.0229*(sin(x7))+-0.0259*(sin(x8))+-0.0256*(sin(x9))+-0.0089*(sin(x10))+-0.6290))*((-0.0156*((x0)**2)+-0.0660*((x1)**2)+-0.0762*((x2)**2)+-0.0686*((x3)**2)+-0.0709*((x4)**2)+-0.0641*((x5)**2)+-0.0657*((x6)**2)+-0.0613*((x7)**2)+-0.0574*((x8)**2)+-0.0630*((x9)**2)+-0.0726*((x10)**2)+0.5956))))+0.8941)	
7	0.44947490	0.61300451	0.67192554	0.00355050	(1.6870*sin((((0.0106*((x0)**2)+0.0378*((x1)**2)+0.0514*((x2)**2)+0.0590*((x3)**2)+0.0571*((x4)**2)+0.0532*((x5)**2)+0.0515*((x6)**2)+0.0494*((x7)**2)+0.0650*((x8)**2)+0.0482*((x9)**2)+0.0497*((x10)**2)+-0.0926))-((0.0878*(1)+0.1682*(1)+0.1607*(1)+-0.0773*(1)+0.1470*(1)+0.0899*(1)+-0.0395*(1)+0.0703*(1)+0.0125*(1)+0.0488*(1)+0.0701*(1)+0.0776))))+1.5629)	
8	0.62518376	0.61780053	0.70892620	0.00355050	(1.6870*sin((((0.0106*((x0)**2)+0.0378*((x1)**2)+0.0514*((x2)**2)+0.0590*((x3)**2)+0.0571*((x4)**2)+0.0532*((x5)**2)+0.0515*((x6)**2)+0.0494*((x7)**2)+0.0650*((x8)**2)+0.0482*((x9)**2)+0.0497*((x10)**2)+-0.0926))-((0.0878*(1)+0.1682*(1)+0.1607*(1)+-0.0773*(1)+0.1470*(1)+0.0899*(1)+-0.0395*(1)+0.0703*(1)+0.0125*(1)+0.0488*(1)+0.0701*(1)+0.0776))))+1.5629)	
9	0.95188838	0.61651450	0.59208077	0.00000002	(-0.3093*(((-0.0049*((x0)**2)+-0.3266*((x1)**2)+-0.3259*((x2)**2)+-0.3300*((x3)**2)+-0.3290*((x4)**2)+-0.3258*((x5)**2)+-0.3198*((x6)**2)+-0.3232*((x7)**2)+-0.3216*((x8)**2)+-0.3340*((x9)**2)+-0.3249*((x10)**2)+-0.0680))+((0.0485*(sin(x0))+-0.0102*(sin(x1))+0.0039*(sin(x2))+-0.0195*(sin(x3))+0.0161*(sin(x4))+-0.0013*(sin(x5))+-0.0009*(sin(x6))+0.0055*(sin(x7))+-0.0291*(sin(x8))+0.0080*(sin(x9))+-0.0175*(sin(x10))+-0.2340)))+-0.0925)	
10	0.16011900	0.61940324	0.67428994	0.00000002	(-0.3093*(((-0.0049*((x0)**2)+-0.3266*((x1)**2)+-0.3259*((x2)**2)+-0.3300*((x3)**2)+-0.3290*((x4)**2)+-0.3258*((x5)**2)+-0.3198*((x6)**2)+-0.3232*((x7)**2)+-0.3216*((x8)**2)+-0.3340*((x9)**2)+-0.3249*((x10)**2)+-0.0680))+((0.0485*(sin(x0))+-0.0102*(sin(x1))+0.0039*(sin(x2))+-0.0195*(sin(x3))+0.0161*(sin(x4))+-0.0013*(sin(x5))+-0.0009*(sin(x6))+0.0055*(sin(x7))+-0.0291*(sin(x8))+0.0080*(sin(x9))+-0.0175*(sin(x10))+-0.2340)))+-0.0925)	
