iteration	loss	baseline	error	formula	error	
1	0.28405428	0.10077035	0.10077035	19.97373581	(-2.4697*(((-2.8771*(sin(x0))+-0.1115*(sin(x1))+-0.0939*(sin(x2))+-0.2595*(sin(x3))+0.0345*(sin(x4))+0.0375*(sin(x5))+-0.0360*(sin(x6))+-0.0819*(sin(x7))+0.1955*(sin(x8))+0.0561*(sin(x9))+0.1116*(sin(x10))+-0.0588*(sin(x11))+0.3140*(sin(x12))+-0.0800*(sin(x13))+0.0489*(sin(x14))+0.0547*(sin(x15))+0.0399*(sin(x16))+-0.0117*(sin(x17))+-0.0062*(sin(x18))+0.1089*(sin(x19))+-0.0972*(sin(x20))+0.0870*(sin(x21))+-0.1790*(sin(x22))+-0.0942*(sin(x23))+-0.0341*(sin(x24))+0.0645*(sin(x25))+0.0405*(sin(x26))+0.0100*(sin(x27))+-0.0693*(sin(x28))+0.0107*(sin(x29))+0.1882*(sin(x30))+-1.3892))+((0.2277*(cos(x0))+-0.0432*(cos(x1))+0.0287*(cos(x2))+0.0779*(cos(x3))+0.0645*(cos(x4))+0.0133*(cos(x5))+-0.1007*(cos(x6))+0.1132*(cos(x7))+-0.0347*(cos(x8))+-0.1689*(cos(x9))+0.0618*(cos(x10))+-0.2540*(cos(x11))+0.0167*(cos(x12))+0.0566*(cos(x13))+0.0382*(cos(x14))+-0.2754*(cos(x15))+-0.0911*(cos(x16))+0.0172*(cos(x17))+-0.0606*(cos(x18))+0.1630*(cos(x19))+-0.0223*(cos(x20))+0.0637*(cos(x21))+-0.0767*(cos(x22))+-0.1044*(cos(x23))+-0.0803*(cos(x24))+-0.0917*(cos(x25))+-0.0168*(cos(x26))+-0.0654*(cos(x27))+0.0438*(cos(x28))+0.0931*(cos(x29))+-0.1624*(cos(x30))+-1.4321)))+0.8577)	
2	0.40001470	0.10215434	0.12845005	5.63495064	(11.0908*sin((((-0.0022*((x0)**2)+0.0176*((x1)**2)+0.0337*((x2)**2)+0.0202*((x3)**2)+0.0197*((x4)**2)+0.0988*((x5)**2)+0.0167*((x6)**2)+0.0809*((x7)**2)+0.0072*((x8)**2)+0.0226*((x9)**2)+0.0872*((x10)**2)+0.0143*((x11)**2)+0.0625*((x12)**2)+0.0322*((x13)**2)+0.0628*((x14)**2)+0.0197*((x15)**2)+0.0294*((x16)**2)+0.0431*((x17)**2)+0.0261*((x18)**2)+0.0931*((x19)**2)+-0.0222*((x20)**2)+0.0509*((x21)**2)+-0.0047*((x22)**2)+0.0606*((x23)**2)+-0.0143*((x24)**2)+0.0502*((x25)**2)+0.0285*((x26)**2)+0.0669*((x27)**2)+0.0391*((x28)**2)+-0.0301*((x29)**2)+0.0157*((x30)**2)+-0.1380))+((-0.2171*(cos(x0))+-0.1052*(cos(x1))+-0.0338*(cos(x2))+-0.0198*(cos(x3))+-0.0396*(cos(x4))+0.1483*(cos(x5))+-0.0958*(cos(x6))+0.0487*(cos(x7))+-0.0500*(cos(x8))+-0.0583*(cos(x9))+0.0664*(cos(x10))+-0.0880*(cos(x11))+-0.0273*(cos(x12))+-0.0201*(cos(x13))+0.0792*(cos(x14))+0.0109*(cos(x15))+-0.0759*(cos(x16))+0.0060*(cos(x17))+-0.0634*(cos(x18))+0.1081*(cos(x19))+-0.2476*(cos(x20))+-0.0262*(cos(x21))+-0.1378*(cos(x22))+0.0598*(cos(x23))+-0.2269*(cos(x24))+0.0141*(cos(x25))+-0.0053*(cos(x26))+0.0225*(cos(x27))+0.0607*(cos(x28))+-0.1404*(cos(x29))+-0.0707*(cos(x30))+-0.0194))))+11.9068)	
3	0.20837863	0.10044456	0.06795864	5.63495064	(11.0908*sin((((-0.0022*((x0)**2)+0.0176*((x1)**2)+0.0337*((x2)**2)+0.0202*((x3)**2)+0.0197*((x4)**2)+0.0988*((x5)**2)+0.0167*((x6)**2)+0.0809*((x7)**2)+0.0072*((x8)**2)+0.0226*((x9)**2)+0.0872*((x10)**2)+0.0143*((x11)**2)+0.0625*((x12)**2)+0.0322*((x13)**2)+0.0628*((x14)**2)+0.0197*((x15)**2)+0.0294*((x16)**2)+0.0431*((x17)**2)+0.0261*((x18)**2)+0.0931*((x19)**2)+-0.0222*((x20)**2)+0.0509*((x21)**2)+-0.0047*((x22)**2)+0.0606*((x23)**2)+-0.0143*((x24)**2)+0.0502*((x25)**2)+0.0285*((x26)**2)+0.0669*((x27)**2)+0.0391*((x28)**2)+-0.0301*((x29)**2)+0.0157*((x30)**2)+-0.1380))+((-0.2171*(cos(x0))+-0.1052*(cos(x1))+-0.0338*(cos(x2))+-0.0198*(cos(x3))+-0.0396*(cos(x4))+0.1483*(cos(x5))+-0.0958*(cos(x6))+0.0487*(cos(x7))+-0.0500*(cos(x8))+-0.0583*(cos(x9))+0.0664*(cos(x10))+-0.0880*(cos(x11))+-0.0273*(cos(x12))+-0.0201*(cos(x13))+0.0792*(cos(x14))+0.0109*(cos(x15))+-0.0759*(cos(x16))+0.0060*(cos(x17))+-0.0634*(cos(x18))+0.1081*(cos(x19))+-0.2476*(cos(x20))+-0.0262*(cos(x21))+-0.1378*(cos(x22))+0.0598*(cos(x23))+-0.2269*(cos(x24))+0.0141*(cos(x25))+-0.0053*(cos(x26))+0.0225*(cos(x27))+0.0607*(cos(x28))+-0.1404*(cos(x29))+-0.0707*(cos(x30))+-0.0194))))+11.9068)	
4	0.26821622	0.09969413	0.08543592	5.63495064	(11.0908*sin((((-0.0022*((x0)**2)+0.0176*((x1)**2)+0.0337*((x2)**2)+0.0202*((x3)**2)+0.0197*((x4)**2)+0.0988*((x5)**2)+0.0167*((x6)**2)+0.0809*((x7)**2)+0.0072*((x8)**2)+0.0226*((x9)**2)+0.0872*((x10)**2)+0.0143*((x11)**2)+0.0625*((x12)**2)+0.0322*((x13)**2)+0.0628*((x14)**2)+0.0197*((x15)**2)+0.0294*((x16)**2)+0.0431*((x17)**2)+0.0261*((x18)**2)+0.0931*((x19)**2)+-0.0222*((x20)**2)+0.0509*((x21)**2)+-0.0047*((x22)**2)+0.0606*((x23)**2)+-0.0143*((x24)**2)+0.0502*((x25)**2)+0.0285*((x26)**2)+0.0669*((x27)**2)+0.0391*((x28)**2)+-0.0301*((x29)**2)+0.0157*((x30)**2)+-0.1380))+((-0.2171*(cos(x0))+-0.1052*(cos(x1))+-0.0338*(cos(x2))+-0.0198*(cos(x3))+-0.0396*(cos(x4))+0.1483*(cos(x5))+-0.0958*(cos(x6))+0.0487*(cos(x7))+-0.0500*(cos(x8))+-0.0583*(cos(x9))+0.0664*(cos(x10))+-0.0880*(cos(x11))+-0.0273*(cos(x12))+-0.0201*(cos(x13))+0.0792*(cos(x14))+0.0109*(cos(x15))+-0.0759*(cos(x16))+0.0060*(cos(x17))+-0.0634*(cos(x18))+0.1081*(cos(x19))+-0.2476*(cos(x20))+-0.0262*(cos(x21))+-0.1378*(cos(x22))+0.0598*(cos(x23))+-0.2269*(cos(x24))+0.0141*(cos(x25))+-0.0053*(cos(x26))+0.0225*(cos(x27))+0.0607*(cos(x28))+-0.1404*(cos(x29))+-0.0707*(cos(x30))+-0.0194))))+11.9068)	
5	0.62523001	0.10187337	0.14327906	4.14659739	(-0.4855*(((8.8689*(cos(x0))+2.4202*(cos(x1))+2.1625*(cos(x2))+2.6391*(cos(x3))+2.3913*(cos(x4))+3.0091*(cos(x5))+2.6143*(cos(x6))+1.5129*(cos(x7))+2.3926*(cos(x8))+2.3234*(cos(x9))+1.8903*(cos(x10))+1.7327*(cos(x11))+2.7540*(cos(x12))+2.5171*(cos(x13))+2.0260*(cos(x14))+2.6600*(cos(x15))+2.6959*(cos(x16))+2.0679*(cos(x17))+2.5014*(cos(x18))+2.2366*(cos(x19))+2.4431*(cos(x20))+2.8536*(cos(x21))+2.3578*(cos(x22))+2.3593*(cos(x23))+2.9384*(cos(x24))+2.3364*(cos(x25))+2.0171*(cos(x26))+1.9560*(cos(x27))+2.6172*(cos(x28))+2.0171*(cos(x29))+2.4699*(cos(x30))+-2.2253))-((2.2343*(1)+2.2689*(1)+2.2393*(1)+2.2452*(1)+2.2755*(1)+2.2879*(1)+2.1710*(1)+2.1987*(1)+2.2078*(1)+2.2550*(1)+2.2578*(1)+2.2784*(1)+2.3352*(1)+2.4934*(1)+2.2447*(1)+2.2571*(1)+2.1741*(1)+2.3145*(1)+2.3525*(1)+2.1776*(1)+2.2199*(1)+2.0731*(1)+2.2814*(1)+2.0168*(1)+2.2187*(1)+2.1064*(1)+2.2535*(1)+2.4648*(1)+2.3304*(1)+2.2381*(1)+2.2109*(1)+2.2835)))+2.1456)	
6	0.52193558	0.10349599	0.13432591	3.93184233	(0.3684*exp((((-0.1944*(cos(x0))+-0.0864*(cos(x1))+-0.0711*(cos(x2))+-0.0915*(cos(x3))+-0.0816*(cos(x4))+-0.0759*(cos(x5))+-0.0779*(cos(x6))+-0.0835*(cos(x7))+-0.0565*(cos(x8))+-0.0911*(cos(x9))+-0.0748*(cos(x10))+-0.0770*(cos(x11))+-0.0757*(cos(x12))+-0.0572*(cos(x13))+-0.0755*(cos(x14))+-0.0856*(cos(x15))+-0.0589*(cos(x16))+-0.0710*(cos(x17))+-0.0712*(cos(x18))+-0.0824*(cos(x19))+-0.0694*(cos(x20))+-0.0642*(cos(x21))+-0.0892*(cos(x22))+-0.1027*(cos(x23))+-0.0902*(cos(x24))+-0.0814*(cos(x25))+-0.0784*(cos(x26))+-0.0822*(cos(x27))+-0.0800*(cos(x28))+-0.0555*(cos(x29))+-0.0746*(cos(x30))+0.2055))-((-0.3009*(1)+-0.1604*(1)+-0.1811*(1)+-0.1103*(1)+-0.0397*(1)+-0.1923*(1)+-0.2134*(1)+-0.0187*(1)+-0.0990*(1)+-0.1779*(1)+-0.1005*(1)+-0.2067*(1)+-0.1177*(1)+-0.0811*(1)+-0.2409*(1)+-0.1601*(1)+-0.0289*(1)+-0.1670*(1)+-0.2185*(1)+-0.1998*(1)+-0.1938*(1)+-0.0311*(1)+-0.2477*(1)+-0.0428*(1)+-0.2090*(1)+-0.0973*(1)+-0.1823*(1)+-0.2722*(1)+-0.1665*(1)+-0.2281*(1)+-0.1742*(1)+-0.1290))))+0.3031)	
7	0.57352489	0.10497993	0.13317482	3.93184233	(0.3684*exp((((-0.1944*(cos(x0))+-0.0864*(cos(x1))+-0.0711*(cos(x2))+-0.0915*(cos(x3))+-0.0816*(cos(x4))+-0.0759*(cos(x5))+-0.0779*(cos(x6))+-0.0835*(cos(x7))+-0.0565*(cos(x8))+-0.0911*(cos(x9))+-0.0748*(cos(x10))+-0.0770*(cos(x11))+-0.0757*(cos(x12))+-0.0572*(cos(x13))+-0.0755*(cos(x14))+-0.0856*(cos(x15))+-0.0589*(cos(x16))+-0.0710*(cos(x17))+-0.0712*(cos(x18))+-0.0824*(cos(x19))+-0.0694*(cos(x20))+-0.0642*(cos(x21))+-0.0892*(cos(x22))+-0.1027*(cos(x23))+-0.0902*(cos(x24))+-0.0814*(cos(x25))+-0.0784*(cos(x26))+-0.0822*(cos(x27))+-0.0800*(cos(x28))+-0.0555*(cos(x29))+-0.0746*(cos(x30))+0.2055))-((-0.3009*(1)+-0.1604*(1)+-0.1811*(1)+-0.1103*(1)+-0.0397*(1)+-0.1923*(1)+-0.2134*(1)+-0.0187*(1)+-0.0990*(1)+-0.1779*(1)+-0.1005*(1)+-0.2067*(1)+-0.1177*(1)+-0.0811*(1)+-0.2409*(1)+-0.1601*(1)+-0.0289*(1)+-0.1670*(1)+-0.2185*(1)+-0.1998*(1)+-0.1938*(1)+-0.0311*(1)+-0.2477*(1)+-0.0428*(1)+-0.2090*(1)+-0.0973*(1)+-0.1823*(1)+-0.2722*(1)+-0.1665*(1)+-0.2281*(1)+-0.1742*(1)+-0.1290))))+0.3031)	
8	0.74573708	0.10307215	0.06682440	3.93184233	(0.3684*exp((((-0.1944*(cos(x0))+-0.0864*(cos(x1))+-0.0711*(cos(x2))+-0.0915*(cos(x3))+-0.0816*(cos(x4))+-0.0759*(cos(x5))+-0.0779*(cos(x6))+-0.0835*(cos(x7))+-0.0565*(cos(x8))+-0.0911*(cos(x9))+-0.0748*(cos(x10))+-0.0770*(cos(x11))+-0.0757*(cos(x12))+-0.0572*(cos(x13))+-0.0755*(cos(x14))+-0.0856*(cos(x15))+-0.0589*(cos(x16))+-0.0710*(cos(x17))+-0.0712*(cos(x18))+-0.0824*(cos(x19))+-0.0694*(cos(x20))+-0.0642*(cos(x21))+-0.0892*(cos(x22))+-0.1027*(cos(x23))+-0.0902*(cos(x24))+-0.0814*(cos(x25))+-0.0784*(cos(x26))+-0.0822*(cos(x27))+-0.0800*(cos(x28))+-0.0555*(cos(x29))+-0.0746*(cos(x30))+0.2055))-((-0.3009*(1)+-0.1604*(1)+-0.1811*(1)+-0.1103*(1)+-0.0397*(1)+-0.1923*(1)+-0.2134*(1)+-0.0187*(1)+-0.0990*(1)+-0.1779*(1)+-0.1005*(1)+-0.2067*(1)+-0.1177*(1)+-0.0811*(1)+-0.2409*(1)+-0.1601*(1)+-0.0289*(1)+-0.1670*(1)+-0.2185*(1)+-0.1998*(1)+-0.1938*(1)+-0.0311*(1)+-0.2477*(1)+-0.0428*(1)+-0.2090*(1)+-0.0973*(1)+-0.1823*(1)+-0.2722*(1)+-0.1665*(1)+-0.2281*(1)+-0.1742*(1)+-0.1290))))+0.3031)	
9	0.30388573	0.10340970	0.10982318	3.93184233	(0.3684*exp((((-0.1944*(cos(x0))+-0.0864*(cos(x1))+-0.0711*(cos(x2))+-0.0915*(cos(x3))+-0.0816*(cos(x4))+-0.0759*(cos(x5))+-0.0779*(cos(x6))+-0.0835*(cos(x7))+-0.0565*(cos(x8))+-0.0911*(cos(x9))+-0.0748*(cos(x10))+-0.0770*(cos(x11))+-0.0757*(cos(x12))+-0.0572*(cos(x13))+-0.0755*(cos(x14))+-0.0856*(cos(x15))+-0.0589*(cos(x16))+-0.0710*(cos(x17))+-0.0712*(cos(x18))+-0.0824*(cos(x19))+-0.0694*(cos(x20))+-0.0642*(cos(x21))+-0.0892*(cos(x22))+-0.1027*(cos(x23))+-0.0902*(cos(x24))+-0.0814*(cos(x25))+-0.0784*(cos(x26))+-0.0822*(cos(x27))+-0.0800*(cos(x28))+-0.0555*(cos(x29))+-0.0746*(cos(x30))+0.2055))-((-0.3009*(1)+-0.1604*(1)+-0.1811*(1)+-0.1103*(1)+-0.0397*(1)+-0.1923*(1)+-0.2134*(1)+-0.0187*(1)+-0.0990*(1)+-0.1779*(1)+-0.1005*(1)+-0.2067*(1)+-0.1177*(1)+-0.0811*(1)+-0.2409*(1)+-0.1601*(1)+-0.0289*(1)+-0.1670*(1)+-0.2185*(1)+-0.1998*(1)+-0.1938*(1)+-0.0311*(1)+-0.2477*(1)+-0.0428*(1)+-0.2090*(1)+-0.0973*(1)+-0.1823*(1)+-0.2722*(1)+-0.1665*(1)+-0.2281*(1)+-0.1742*(1)+-0.1290))))+0.3031)	
10	0.41375026	0.10247472	0.08471011	3.93184233	(0.3684*exp((((-0.1944*(cos(x0))+-0.0864*(cos(x1))+-0.0711*(cos(x2))+-0.0915*(cos(x3))+-0.0816*(cos(x4))+-0.0759*(cos(x5))+-0.0779*(cos(x6))+-0.0835*(cos(x7))+-0.0565*(cos(x8))+-0.0911*(cos(x9))+-0.0748*(cos(x10))+-0.0770*(cos(x11))+-0.0757*(cos(x12))+-0.0572*(cos(x13))+-0.0755*(cos(x14))+-0.0856*(cos(x15))+-0.0589*(cos(x16))+-0.0710*(cos(x17))+-0.0712*(cos(x18))+-0.0824*(cos(x19))+-0.0694*(cos(x20))+-0.0642*(cos(x21))+-0.0892*(cos(x22))+-0.1027*(cos(x23))+-0.0902*(cos(x24))+-0.0814*(cos(x25))+-0.0784*(cos(x26))+-0.0822*(cos(x27))+-0.0800*(cos(x28))+-0.0555*(cos(x29))+-0.0746*(cos(x30))+0.2055))-((-0.3009*(1)+-0.1604*(1)+-0.1811*(1)+-0.1103*(1)+-0.0397*(1)+-0.1923*(1)+-0.2134*(1)+-0.0187*(1)+-0.0990*(1)+-0.1779*(1)+-0.1005*(1)+-0.2067*(1)+-0.1177*(1)+-0.0811*(1)+-0.2409*(1)+-0.1601*(1)+-0.0289*(1)+-0.1670*(1)+-0.2185*(1)+-0.1998*(1)+-0.1938*(1)+-0.0311*(1)+-0.2477*(1)+-0.0428*(1)+-0.2090*(1)+-0.0973*(1)+-0.1823*(1)+-0.2722*(1)+-0.1665*(1)+-0.2281*(1)+-0.1742*(1)+-0.1290))))+0.3031)	
