iteration	loss	baseline	error	formula	error	
1	1.14977205	0.07489018	0.07489018	10.79804611	(1.3218*exp((((-0.0196*((x0)**2)+-0.0030*((x1)**2)+0.0622*((x2)**2)+0.1763*((x3)**2)+0.1254*((x4)**2)+0.0333*((x5)**2)+0.0752*((x6)**2)+0.0780*((x7)**2)+0.1970*((x8)**2)+0.0504*((x9)**2)+0.0458*((x10)**2)+0.1359*((x11)**2)+0.1645*((x12)**2)+0.1085*((x13)**2)+0.1076*((x14)**2)+0.1437*((x15)**2)+0.0622*((x16)**2)+0.1898*((x17)**2)+0.1350*((x18)**2)+-0.0936*((x19)**2)+0.1194*((x20)**2)+0.1258))*((0.3368*(sin(x0))+0.0062*(sin(x1))+0.0090*(sin(x2))+0.0027*(sin(x3))+0.0013*(sin(x4))+-0.0063*(sin(x5))+-0.0152*(sin(x6))+-0.0060*(sin(x7))+0.0099*(sin(x8))+-0.0114*(sin(x9))+0.0274*(sin(x10))+0.0213*(sin(x11))+0.0030*(sin(x12))+0.0095*(sin(x13))+-0.0406*(sin(x14))+0.0440*(sin(x15))+0.0153*(sin(x16))+0.0455*(sin(x17))+-0.0182*(sin(x18))+-0.0251*(sin(x19))+0.0071*(sin(x20))+0.1436))))+7.6040)	
2	0.14735214	0.07974108	0.17190826	10.79804611	(1.3218*exp((((-0.0196*((x0)**2)+-0.0030*((x1)**2)+0.0622*((x2)**2)+0.1763*((x3)**2)+0.1254*((x4)**2)+0.0333*((x5)**2)+0.0752*((x6)**2)+0.0780*((x7)**2)+0.1970*((x8)**2)+0.0504*((x9)**2)+0.0458*((x10)**2)+0.1359*((x11)**2)+0.1645*((x12)**2)+0.1085*((x13)**2)+0.1076*((x14)**2)+0.1437*((x15)**2)+0.0622*((x16)**2)+0.1898*((x17)**2)+0.1350*((x18)**2)+-0.0936*((x19)**2)+0.1194*((x20)**2)+0.1258))*((0.3368*(sin(x0))+0.0062*(sin(x1))+0.0090*(sin(x2))+0.0027*(sin(x3))+0.0013*(sin(x4))+-0.0063*(sin(x5))+-0.0152*(sin(x6))+-0.0060*(sin(x7))+0.0099*(sin(x8))+-0.0114*(sin(x9))+0.0274*(sin(x10))+0.0213*(sin(x11))+0.0030*(sin(x12))+0.0095*(sin(x13))+-0.0406*(sin(x14))+0.0440*(sin(x15))+0.0153*(sin(x16))+0.0455*(sin(x17))+-0.0182*(sin(x18))+-0.0251*(sin(x19))+0.0071*(sin(x20))+0.1436))))+7.6040)	
3	0.54006499	0.07932324	0.07138417	10.79804611	(1.3218*exp((((-0.0196*((x0)**2)+-0.0030*((x1)**2)+0.0622*((x2)**2)+0.1763*((x3)**2)+0.1254*((x4)**2)+0.0333*((x5)**2)+0.0752*((x6)**2)+0.0780*((x7)**2)+0.1970*((x8)**2)+0.0504*((x9)**2)+0.0458*((x10)**2)+0.1359*((x11)**2)+0.1645*((x12)**2)+0.1085*((x13)**2)+0.1076*((x14)**2)+0.1437*((x15)**2)+0.0622*((x16)**2)+0.1898*((x17)**2)+0.1350*((x18)**2)+-0.0936*((x19)**2)+0.1194*((x20)**2)+0.1258))*((0.3368*(sin(x0))+0.0062*(sin(x1))+0.0090*(sin(x2))+0.0027*(sin(x3))+0.0013*(sin(x4))+-0.0063*(sin(x5))+-0.0152*(sin(x6))+-0.0060*(sin(x7))+0.0099*(sin(x8))+-0.0114*(sin(x9))+0.0274*(sin(x10))+0.0213*(sin(x11))+0.0030*(sin(x12))+0.0095*(sin(x13))+-0.0406*(sin(x14))+0.0440*(sin(x15))+0.0153*(sin(x16))+0.0455*(sin(x17))+-0.0182*(sin(x18))+-0.0251*(sin(x19))+0.0071*(sin(x20))+0.1436))))+7.6040)	
4	1.81261182	0.08787867	0.25043184	0.11782204	(1.4784*(((-0.1157*((x0)**2)+0.1778*((x1)**2)+0.1451*((x2)**2)+0.1741*((x3)**2)+0.0648*((x4)**2)+0.1772*((x5)**2)+0.1202*((x6)**2)+0.1791*((x7)**2)+0.2639*((x8)**2)+0.1387*((x9)**2)+0.0582*((x10)**2)+0.1487*((x11)**2)+0.1588*((x12)**2)+0.1273*((x13)**2)+0.1759*((x14)**2)+0.1115*((x15)**2)+0.1345*((x16)**2)+0.1376*((x17)**2)+0.1429*((x18)**2)+0.1066*((x19)**2)+0.1659*((x20)**2)+-0.0079))+((0.1946*((x0)**2)+0.1353*((x1)**2)+0.1648*((x2)**2)+0.1448*((x3)**2)+0.2440*((x4)**2)+0.1199*((x5)**2)+0.1849*((x6)**2)+0.1408*((x7)**2)+0.0416*((x8)**2)+0.1659*((x9)**2)+0.2432*((x10)**2)+0.1631*((x11)**2)+0.1565*((x12)**2)+0.1748*((x13)**2)+0.1550*((x14)**2)+0.1939*((x15)**2)+0.1887*((x16)**2)+0.1898*((x17)**2)+0.1685*((x18)**2)+0.2161*((x19)**2)+0.1478*((x20)**2)+0.0998)))+0.6061)	
5	0.16118820	0.09072520	0.14480911	0.11782204	(1.4784*(((-0.1157*((x0)**2)+0.1778*((x1)**2)+0.1451*((x2)**2)+0.1741*((x3)**2)+0.0648*((x4)**2)+0.1772*((x5)**2)+0.1202*((x6)**2)+0.1791*((x7)**2)+0.2639*((x8)**2)+0.1387*((x9)**2)+0.0582*((x10)**2)+0.1487*((x11)**2)+0.1588*((x12)**2)+0.1273*((x13)**2)+0.1759*((x14)**2)+0.1115*((x15)**2)+0.1345*((x16)**2)+0.1376*((x17)**2)+0.1429*((x18)**2)+0.1066*((x19)**2)+0.1659*((x20)**2)+-0.0079))+((0.1946*((x0)**2)+0.1353*((x1)**2)+0.1648*((x2)**2)+0.1448*((x3)**2)+0.2440*((x4)**2)+0.1199*((x5)**2)+0.1849*((x6)**2)+0.1408*((x7)**2)+0.0416*((x8)**2)+0.1659*((x9)**2)+0.2432*((x10)**2)+0.1631*((x11)**2)+0.1565*((x12)**2)+0.1748*((x13)**2)+0.1550*((x14)**2)+0.1939*((x15)**2)+0.1887*((x16)**2)+0.1898*((x17)**2)+0.1685*((x18)**2)+0.2161*((x19)**2)+0.1478*((x20)**2)+0.0998)))+0.6061)	
6	0.91506046	0.09023957	0.08101267	0.11782204	(1.4784*(((-0.1157*((x0)**2)+0.1778*((x1)**2)+0.1451*((x2)**2)+0.1741*((x3)**2)+0.0648*((x4)**2)+0.1772*((x5)**2)+0.1202*((x6)**2)+0.1791*((x7)**2)+0.2639*((x8)**2)+0.1387*((x9)**2)+0.0582*((x10)**2)+0.1487*((x11)**2)+0.1588*((x12)**2)+0.1273*((x13)**2)+0.1759*((x14)**2)+0.1115*((x15)**2)+0.1345*((x16)**2)+0.1376*((x17)**2)+0.1429*((x18)**2)+0.1066*((x19)**2)+0.1659*((x20)**2)+-0.0079))+((0.1946*((x0)**2)+0.1353*((x1)**2)+0.1648*((x2)**2)+0.1448*((x3)**2)+0.2440*((x4)**2)+0.1199*((x5)**2)+0.1849*((x6)**2)+0.1408*((x7)**2)+0.0416*((x8)**2)+0.1659*((x9)**2)+0.2432*((x10)**2)+0.1631*((x11)**2)+0.1565*((x12)**2)+0.1748*((x13)**2)+0.1550*((x14)**2)+0.1939*((x15)**2)+0.1887*((x16)**2)+0.1898*((x17)**2)+0.1685*((x18)**2)+0.2161*((x19)**2)+0.1478*((x20)**2)+0.0998)))+0.6061)	
7	0.30702886	0.09088857	0.10321956	0.11782204	(1.4784*(((-0.1157*((x0)**2)+0.1778*((x1)**2)+0.1451*((x2)**2)+0.1741*((x3)**2)+0.0648*((x4)**2)+0.1772*((x5)**2)+0.1202*((x6)**2)+0.1791*((x7)**2)+0.2639*((x8)**2)+0.1387*((x9)**2)+0.0582*((x10)**2)+0.1487*((x11)**2)+0.1588*((x12)**2)+0.1273*((x13)**2)+0.1759*((x14)**2)+0.1115*((x15)**2)+0.1345*((x16)**2)+0.1376*((x17)**2)+0.1429*((x18)**2)+0.1066*((x19)**2)+0.1659*((x20)**2)+-0.0079))+((0.1946*((x0)**2)+0.1353*((x1)**2)+0.1648*((x2)**2)+0.1448*((x3)**2)+0.2440*((x4)**2)+0.1199*((x5)**2)+0.1849*((x6)**2)+0.1408*((x7)**2)+0.0416*((x8)**2)+0.1659*((x9)**2)+0.2432*((x10)**2)+0.1631*((x11)**2)+0.1565*((x12)**2)+0.1748*((x13)**2)+0.1550*((x14)**2)+0.1939*((x15)**2)+0.1887*((x16)**2)+0.1898*((x17)**2)+0.1685*((x18)**2)+0.2161*((x19)**2)+0.1478*((x20)**2)+0.0998)))+0.6061)	
8	0.71525073	0.09222902	0.11769774	0.11782204	(1.4784*(((-0.1157*((x0)**2)+0.1778*((x1)**2)+0.1451*((x2)**2)+0.1741*((x3)**2)+0.0648*((x4)**2)+0.1772*((x5)**2)+0.1202*((x6)**2)+0.1791*((x7)**2)+0.2639*((x8)**2)+0.1387*((x9)**2)+0.0582*((x10)**2)+0.1487*((x11)**2)+0.1588*((x12)**2)+0.1273*((x13)**2)+0.1759*((x14)**2)+0.1115*((x15)**2)+0.1345*((x16)**2)+0.1376*((x17)**2)+0.1429*((x18)**2)+0.1066*((x19)**2)+0.1659*((x20)**2)+-0.0079))+((0.1946*((x0)**2)+0.1353*((x1)**2)+0.1648*((x2)**2)+0.1448*((x3)**2)+0.2440*((x4)**2)+0.1199*((x5)**2)+0.1849*((x6)**2)+0.1408*((x7)**2)+0.0416*((x8)**2)+0.1659*((x9)**2)+0.2432*((x10)**2)+0.1631*((x11)**2)+0.1565*((x12)**2)+0.1748*((x13)**2)+0.1550*((x14)**2)+0.1939*((x15)**2)+0.1887*((x16)**2)+0.1898*((x17)**2)+0.1685*((x18)**2)+0.2161*((x19)**2)+0.1478*((x20)**2)+0.0998)))+0.6061)	
9	0.43621358	0.09318602	0.11136901	0.11782204	(1.4784*(((-0.1157*((x0)**2)+0.1778*((x1)**2)+0.1451*((x2)**2)+0.1741*((x3)**2)+0.0648*((x4)**2)+0.1772*((x5)**2)+0.1202*((x6)**2)+0.1791*((x7)**2)+0.2639*((x8)**2)+0.1387*((x9)**2)+0.0582*((x10)**2)+0.1487*((x11)**2)+0.1588*((x12)**2)+0.1273*((x13)**2)+0.1759*((x14)**2)+0.1115*((x15)**2)+0.1345*((x16)**2)+0.1376*((x17)**2)+0.1429*((x18)**2)+0.1066*((x19)**2)+0.1659*((x20)**2)+-0.0079))+((0.1946*((x0)**2)+0.1353*((x1)**2)+0.1648*((x2)**2)+0.1448*((x3)**2)+0.2440*((x4)**2)+0.1199*((x5)**2)+0.1849*((x6)**2)+0.1408*((x7)**2)+0.0416*((x8)**2)+0.1659*((x9)**2)+0.2432*((x10)**2)+0.1631*((x11)**2)+0.1565*((x12)**2)+0.1748*((x13)**2)+0.1550*((x14)**2)+0.1939*((x15)**2)+0.1887*((x16)**2)+0.1898*((x17)**2)+0.1685*((x18)**2)+0.2161*((x19)**2)+0.1478*((x20)**2)+0.0998)))+0.6061)	
10	1.13077247	0.09869191	0.20330384	0.11782204	(1.4784*(((-0.1157*((x0)**2)+0.1778*((x1)**2)+0.1451*((x2)**2)+0.1741*((x3)**2)+0.0648*((x4)**2)+0.1772*((x5)**2)+0.1202*((x6)**2)+0.1791*((x7)**2)+0.2639*((x8)**2)+0.1387*((x9)**2)+0.0582*((x10)**2)+0.1487*((x11)**2)+0.1588*((x12)**2)+0.1273*((x13)**2)+0.1759*((x14)**2)+0.1115*((x15)**2)+0.1345*((x16)**2)+0.1376*((x17)**2)+0.1429*((x18)**2)+0.1066*((x19)**2)+0.1659*((x20)**2)+-0.0079))+((0.1946*((x0)**2)+0.1353*((x1)**2)+0.1648*((x2)**2)+0.1448*((x3)**2)+0.2440*((x4)**2)+0.1199*((x5)**2)+0.1849*((x6)**2)+0.1408*((x7)**2)+0.0416*((x8)**2)+0.1659*((x9)**2)+0.2432*((x10)**2)+0.1631*((x11)**2)+0.1565*((x12)**2)+0.1748*((x13)**2)+0.1550*((x14)**2)+0.1939*((x15)**2)+0.1887*((x16)**2)+0.1898*((x17)**2)+0.1685*((x18)**2)+0.2161*((x19)**2)+0.1478*((x20)**2)+0.0998)))+0.6061)	
